id,token,tag,wiki_id
0,Статья,O,
1,посвящена,O,
2,внедрению,O,
3,нового,O,
4,специфического,O,
5,требования,O,
6,потребителя,O,
7,—,O,
8,R,B-TERM,
9,-,I-TERM,
10,FMEA,I-TERM,
11,",",O,
12,целью,O,
13,которого,O,
14,является,O,
15,проверка,O,
16,правильности,O,
17,реализации,O,
18,FMEA,B-TERM,Q1389268
19,путем,O,
20,его,O,
21,системного,O,
22,пересмотра,O,
23,.,O,
24,На,O,
25,основе,O,
26,полученной,O,
27,информации,O,
28,АО,O,
29,«,O,
30,Самарская,O,
31,Кабельная,O,
32,Компания,O,
33,»,O,
34,приступила,O,
35,к,O,
36,оценке,O,
37,и,O,
38,совершенствованию,O,
39,внутренней,O,
40,процедуры,O,
41,по,O,
42,проведению,O,
43,FMEA,B-TERM,Q1389268
44,с,O,
45,использованием,O,
46,инструмента,O,
47,R,B-TERM,
48,-,I-TERM,
49,FMEA,I-TERM,
50,и,O,
51,разработала,O,
52,форму,O,
53,",",O,
54,помогающую,O,
55,внедрению,O,
56,нового,O,
57,инструмента,B-TERM,
58,управления,I-TERM,
