id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,способ,O,
4,формирования,B-TERM,
5,текстовых,I-TERM,
6,сообщений,I-TERM,
7,на,O,
8,основе,O,
9,метода,B-TERM,
10,движения,I-TERM,
11,губ,I-TERM,
12,",",O,
13,соответствующих,O,
14,определенной,O,
15,фонеме,B-TERM,Q8183
16,.,O,
17,Построена,O,
18,геометрическая,B-TERM,
19,модель,I-TERM,
20,лица,I-TERM,
21,человека,I-TERM,
22,на,O,
23,основе,O,
24,метода,B-TERM,
25,активного,I-TERM,
26,контура,I-TERM,
27,и,O,
28,реализован,O,
29,макет,O,
30,программного,B-TERM,Q7397
31,обеспечения,I-TERM,
32,",",O,
33,автоматически,O,
34,определяющий,O,
35,дескрипторы,B-TERM,
36,рта,I-TERM,
37,.,O,
