id,token,tag,wiki_id
0,Статья,O,
1,посвящена,O,
2,изложению,O,
3,парадигмы,B-TERM,Q28643
4,в,O,
5,теории,B-TERM,Q269699
6,систем,I-TERM,
7,",",O,
8,позволяющей,O,
9,формализовать,O,
10,основные,O,
11,понятия,O,
12,и,O,
13,свойства,O,
14,систем,B-TERM,Q58778
15,на,O,
16,основе,O,
17,единого,O,
18,общего,B-TERM,
19,принципа,I-TERM,
20,изоморфизма,I-TERM,
21,.,O,
22,Интерпретация,B-TERM,
23,известного,O,
24,принципа,B-TERM,
25,единственности,I-TERM,
26,в,O,
27,задаче,O,
28,реализации,O,
29,в,O,
30,форме,O,
31,общего,B-TERM,
32,принципа,I-TERM,
33,изоморфизма,I-TERM,
34,дала,O,
35,возможность,O,
36,в,O,
37,общем,B-TERM,
38,виде,I-TERM,
39,сформулировать,O,
40,и,O,
41,доказать,O,
42,фундаментальную,O,
43,теорему,O,
44,(,O,
45,лемму,O,
46,),O,
47,о,O,
48,реализации,O,
49,.,O,
50,На,O,
51,основе,O,
52,общего,B-TERM,Q17130809
53,принципа,I-TERM,
54,изоморфизма,I-TERM,
55,и,O,
56,леммы,B-TERM,
57,сформулирована,O,
58,новая,O,
59,парадигма,B-TERM,Q188267
60,в,O,
61,теории,B-TERM,Q269699
62,систем,I-TERM,
63,",",O,
64,позволившая,O,
65,определить,O,
66,понятия,O,
67,модели,B-TERM,Q486902
68,",",O,
69,абстрактной,B-TERM,
70,системы,I-TERM,
71,",",O,
72,простой,B-TERM,
73,",",O,
74,сложной,B-TERM,Q854457
75,и,O,
76,большой,B-TERM,
77,системы,I-TERM,
78,",",O,
79,а,O,
80,также,O,
81,формализовать,O,
82,фундаментальные,O,
83,свойства,O,
84,систем,B-TERM,Q58778
85,.,O,
86,В,O,
87,частности,O,
88,",",O,
89,с,O,
90,точностью,O,
91,до,O,
92,некоторых,O,
93,изоморфных,B-TERM,
94,моделей,I-TERM,
95,определены,O,
96,понятия,O,
97,и,O,
98,критерии,O,
99,наблюдаемости,B-TERM,
100,",",O,
101,управляемости,B-TERM,
102,",",O,
103,контролируемости,B-TERM,
104,и,O,
105,идентифицируемости,B-TERM,
106,систем,I-TERM,
107,.,O,
108,В,O,
109,рамках,O,
110,парадигмы,B-TERM,Q188267
111,обоснованы,O,
112,новые,O,
113,взгляды,O,
114,на,O,
115,детерминизм,B-TERM,Q131133
116,и,O,
117,случайность,B-TERM,Q176640
118,",",O,
119,на,O,
120,проявления,O,
121,системного,B-TERM,
122,эффекта,I-TERM,
123,",",O,
124,на,O,
125,принцип,B-TERM,Q945995
126,относительности,I-TERM,
127,и,O,
128,принцип,B-TERM,
129,суперпозиции,I-TERM,
130,в,O,
131,теории,B-TERM,Q269699
132,систем,I-TERM,
133,.,O,
134,Парадигма,B-TERM,Q188267
135,также,O,
136,позволила,O,
137,формализовать,O,
138,условия,O,
139,интеграции,B-TERM,Q1665453
140,систем,B-TERM,Q58778
141,в,O,
142,системы,B-TERM,
143,-,O,
144,комплексы,I-TERM,
145,и,O,
146,проанализировать,O,
147,свойства,O,
148,интегрированных,O,
149,систем,B-TERM,Q58778
150,.,O,
151,Рассмотрены,O,
152,формально,O,
153,-,O,
154,математические,O,
155,основы,O,
156,синтеза,B-TERM,Q1134306
157,интегрированных,B-TERM,
158,информационно,I-TERM,
159,-,I-TERM,
160,управляющих,I-TERM,
161,систем,I-TERM,
162,",",O,
163,имеющих,O,
164,важное,O,
165,прикладное,O,
166,значение,O,
167,.,O,
168,На,O,
169,основе,O,
170,обобщения,O,
171,принципа,B-TERM,Q65173239
172,суперпозиции,I-TERM,
173,получены,O,
174,доказательства,O,
175,теоремы,B-TERM,
176,разделения,I-TERM,
177,и,O,
178,определены,O,
179,условия,O,
180,разрешимости,B-TERM,
181,задачи,I-TERM,
182,дуального,I-TERM,
183,управления,I-TERM,
184,для,O,
185,линейных,O,
186,и,O,
187,нелинейных,B-TERM,Q4316760
188,интегрированных,I-TERM,
189,систем,I-TERM,
190,.,O,
