id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,теория,B-TERM,
4,и,O,
5,алгоритмы,B-TERM,Q8366
6,",",O,
7,лежащие,O,
8,в,O,
9,основе,O,
10,компьютерного,B-TERM,
11,синтеза,I-TERM,
12,изображений,I-TERM,
13,изображений,O,
14,.,O,
15,В,O,
16,связи,O,
17,с,O,
18,отсутствием,O,
19,акустической,B-TERM,
20,3D,I-TERM,
21,-,I-TERM,
22,модели,I-TERM,
23,сердца,I-TERM,
24,человека,I-TERM,
25,требуемой,O,
26,для,O,
27,решения,O,
28,задачи,B-TERM,
29,синтеза,I-TERM,
30,",",O,
31,авторами,O,
32,предложен,O,
33,способ,O,
34,создания,O,
35,таковой,O,
36,",",O,
37,основанный,O,
38,на,O,
39,использовании,O,
40,существующих,O,
41,программных,B-TERM,
42,3D,I-TERM,
43,-,I-TERM,
44,моделей,I-TERM,
45,сердца,I-TERM,
46,человека,I-TERM,
47,.,O,
48,Представлены,O,
49,результаты,O,
50,синтеза,B-TERM,
51,изображений,I-TERM,
52,сердечной,B-TERM,
53,мышцы,I-TERM,
54,на,O,
55,основе,O,
56,результатов,O,
57,расчета,O,
58,распределений,B-TERM,
59,акустических,I-TERM,
60,полей,I-TERM,
61,в,O,
62,существующих,O,
63,программных,B-TERM,
64,симуляторах,I-TERM,
65,.,O,
66,Обсуждаются,O,
67,проблемы,O,
68,",",O,
69,которые,O,
70,возникают,O,
71,при,O,
72,создании,O,
73,акустических,B-TERM,
74,3D,I-TERM,
75,-,I-TERM,
76,моделей,I-TERM,
77,сердца,I-TERM,
78,",",O,
79,используемых,O,
80,далее,O,
81,для,O,
82,синтеза,B-TERM,
83,эхографических,I-TERM,
84,изображений,I-TERM,
85,.,O,
