id,token,tag,wiki_id
0,Рассматриваются,O,
1,типичные,O,
2,сценарии,O,
3,",",O,
4,при,O,
5,которых,O,
6,возникает,O,
7,потребность,O,
8,совместного,B-TERM,
9,использования,I-TERM,
10,ограниченных,O,
11,общесистемных,B-TERM,
12,ресурсов,I-TERM,
13,несколькими,O,
14,виртуальными,B-TERM,Q192726
15,машинами,I-TERM,
16,.,O,
17,Разработаны,O,
18,правила,O,
19,балансировки,B-TERM,Q575614
20,нагрузки,I-TERM,
21,в,O,
22,зависимости,O,
23,от,O,
24,информационных,B-TERM,
25,процессов,I-TERM,
26,",",O,
27,выполняемых,O,
28,виртуальными,B-TERM,Q192726
29,машинами,I-TERM,
30,.,O,
31,Вычисление,O,
32,производительности,B-TERM,Q2111958
33,рассмотренных,O,
34,операций,B-TERM,Q3884033
35,основано,O,
36,на,O,
37,типизированной,O,
38,модели,O,
39,",",O,
40,что,O,
41,дает,O,
42,возможность,O,
43,оценки,B-TERM,Q1379672
44,общей,O,
45,производительности,B-TERM,Q2111958
46,.,O,
