id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,обсуждаются,O,
3,свойства,O,
4,сопряженных,B-TERM,
5,круговых,I-TERM,
6,дуг,I-TERM,
7,",",O,
8,соединяющих,O,
9,две,O,
10,точки,B-TERM,Q44946
11,на,O,
12,плоскости,B-TERM,Q17285
13,",",O,
14,в,O,
15,которых,O,
16,заданы,O,
17,направления,O,
18,касательных,B-TERM,Q1179296
19,векторов,I-TERM,
20,.,O,
21,Предлагается,O,
22,метод,B-TERM,Q1799072
23,построения,O,
24,",",O,
25,в,O,
26,основе,O,
27,которого,O,
28,лежит,O,
29,применение,O,
30,вспомогательной,B-TERM,
31,окружности,I-TERM,
32,.,O,
33,Радиус,B-TERM,Q173817
34,окружности,I-TERM,
35,зависит,O,
36,от,O,
37,направления,O,
38,касательных,B-TERM,Q1179296
39,векторов,I-TERM,
40,.,O,
41,Доказано,O,
42,",",O,
43,что,O,
44,любая,O,
45,точка,B-TERM,Q44946
46,этой,O,
47,окружности,B-TERM,Q17278
48,является,O,
49,точкой,B-TERM,
50,сопряжения,I-TERM,
51,пары,I-TERM,
52,круговых,I-TERM,
53,дуг,I-TERM,
54,.,O,
