id,token,tag,wiki_id
0,Проекты,B-TERM,
1,и,O,
2,проектное,B-TERM,
3,управление,I-TERM,
4,используются,O,
5,в,O,
6,современной,O,
7,экономике,B-TERM,Q8134
8,для,O,
9,решения,O,
10,самых,O,
11,различных,O,
12,компаний,B-TERM,
13,.,O,
14,В,O,
15,статье,O,
16,производится,O,
17,попытка,O,
18,оценить,O,
19,объемы,O,
20,хозяйственной,B-TERM,Q8148
21,деятельности,I-TERM,
22,",",O,
23,реализуемой,O,
24,в,O,
25,рамках,O,
26,проектов,O,
27,",",O,
28,программ,O,
29,и,O,
30,портфелей,O,
31,.,O,
32,Оценки,O,
33,базируются,O,
34,на,O,
35,статистическом,B-TERM,
36,анализе,I-TERM,
37,мнений,O,
38,менеджеров,O,
39,-,O,
40,практиков,O,
41,из,O,
42,самых,O,
43,различных,O,
44,компаний,B-TERM,Q783794
45,.,O,
46,Особенное,O,
47,внимание,O,
48,уделяется,O,
49,исследованию,O,
50,масштабов,O,
51,использования,O,
52,проектов,B-TERM,
53,в,O,
54,высокотехнологических,B-TERM,
55,отраслях,I-TERM,
56,экономики,I-TERM,
57,.,O,
58,В,O,
59,результате,O,
60,исследования,O,
61,определено,O,
62,",",O,
63,что,O,
64,проектно,B-TERM,
65,-,I-TERM,
66,ориентированная,I-TERM,
67,деятельность,I-TERM,
68,сегодня,O,
69,присутствует,O,
70,достаточно,O,
71,осязаемо,O,
72,практически,O,
73,во,O,
74,всех,O,
75,отраслях,B-TERM,
76,.,O,
77,Но,O,
78,при,O,
79,этом,O,
80,особенно,O,
81,важное,O,
82,место,O,
83,проекты,B-TERM,
84,и,O,
85,проектное,B-TERM,
86,управление,I-TERM,
87,занимают,O,
88,в,O,
89,высокотехнологических,B-TERM,
90,отраслях,I-TERM,
91,.,O,
