id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,предлагается,O,
3,алгоритм,B-TERM,
4,сегментации,I-TERM,
5,трехмерных,I-TERM,
6,сцен,I-TERM,
7,",",O,
8,основанный,O,
9,на,O,
10,семантической,B-TERM,
11,сегментации,I-TERM,
12,последовательности,O,
13,изображений,O,
14,на,O,
15,основе,O,
16,сверточных,B-TERM,Q17084460
17,нейронных,I-TERM,
18,сетей,I-TERM,
19,",",O,
20,с,O,
21,последующей,O,
22,проекцией,B-TERM,Q93504992
23,результатов,O,
24,на,O,
25,реконструированную,O,
26,трехмерную,B-TERM,Q47034631
27,модель,I-TERM,
28,наблюдаемой,O,
29,сцены,O,
30,",",O,
31,представленную,O,
32,облаком,B-TERM,Q1899648
33,3D,I-TERM,
34,точек,I-TERM,
35,.,O,
36,Работоспособность,B-TERM,Q1061298
37,и,O,
38,оценка,O,
39,точности,B-TERM,Q272035
40,алгоритма,I-TERM,
41,подтверждается,O,
42,результатами,O,
43,экспериментов,O,
44,.,O,
