id,token,tag,wiki_id
0,Рассматривается,O,
1,применение,O,
2,метода,B-TERM,
3,сетевого,I-TERM,
4,оператора,I-TERM,
5,для,O,
6,синтеза,B-TERM,
7,системы,I-TERM,
8,стабилизации,I-TERM,
9,управления,I-TERM,
10,динамическим,I-TERM,
11,объектом,I-TERM,
12,.,O,
13,В,O,
14,качестве,O,
15,динамического,B-TERM,
16,объекта,I-TERM,
17,рассматривается,O,
18,летающий,B-TERM,
19,робот,I-TERM,
20,типа,O,
21,квадротор,B-TERM,
22,.,O,
23,Для,O,
24,синтеза,B-TERM,Q1134306
25,использовано,O,
26,два,O,
27,сетевых,B-TERM,
28,оператора,I-TERM,
29,",",O,
30,логический,B-TERM,
31,—,O,
32,для,O,
33,синтеза,B-TERM,
34,логического,I-TERM,
35,блока,I-TERM,
36,управления,I-TERM,
37,",",O,
38,и,O,
39,обычный,O,
40,арифметический,B-TERM,
41,оператор,I-TERM,
42,—,O,
43,для,O,
44,синтеза,B-TERM,
45,системы,I-TERM,
46,стабилизации,I-TERM,
47,относительно,O,
48,точки,O,
49,пространственной,B-TERM,Q193139
50,траектории,I-TERM,
51,.,O,
52,Приведен,O,
53,пример,O,
54,синтеза,B-TERM,
55,интеллектуального,I-TERM,
56,управления,I-TERM,
57,движением,I-TERM,
58,квадротора,I-TERM,
59,в,O,
60,окрестности,B-TERM,
61,пространственной,I-TERM,
62,траектории,I-TERM,
63,",",O,
64,построенной,O,
65,с,O,
66,учетом,O,
67,препятствий,B-TERM,Q264661
68,.,O,
