id,token,tag,wiki_id
0,Разработана,O,
1,методика,B-TERM,
2,многокритериального,I-TERM,
3,стратегического,I-TERM,
4,позиционирования,I-TERM,
5,технологических,B-TERM,
6,видов,I-TERM,
7,деятельности,I-TERM,
8,диверсифицированных,O,
9,аэрокосмических,B-TERM,
10,компаний,I-TERM,
11,и,O,
12,формирования,B-TERM,
13,конкурентных,I-TERM,
14,стратегий,I-TERM,
15,их,O,
16,развития,B-TERM,
17,.,O,
18,Методика,B-TERM,
19,основана,O,
20,на,O,
21,системном,B-TERM,Q679871
22,анализе,I-TERM,
23,проблемы,O,
24,с,O,
25,использованием,O,
26,метода,B-TERM,Q485202
27,анализа,I-TERM,
28,иерархий,I-TERM,
29,.,O,
