id,token,tag,wiki_id
0,Рассматривается,O,
1,вопрос,O,
2,идентификации,O,
3,математической,B-TERM,Q486902
4,модели,I-TERM,
5,",",O,
6,имитирующей,O,
7,технологический,B-TERM,Q10843872
8,процесс,I-TERM,
9,блока,O,
10,каталитического,B-TERM,Q743447
11,риформинга,I-TERM,
12,.,O,
13,Структурная,B-TERM,
14,и,O,
15,параметрическая,B-TERM,
16,идентификация,I-TERM,
17,проводится,O,
18,по,O,
19,квази,B-TERM,
20,-,I-TERM,
21,экспериментальным,I-TERM,
22,данным,I-TERM,
23,",",O,
24,описывающим,O,
25,фазовую,B-TERM,
26,траекторию,I-TERM,
27,движения,I-TERM,
28,объекта,B-TERM,Q639588
29,управления,I-TERM,
30,в,O,
31,фазовом,B-TERM,Q62542
32,пространстве,I-TERM,
33,динамической,B-TERM,Q638328
34,системы,I-TERM,
35,.,O,
36,Показано,O,
37,успешное,O,
38,применение,O,
39,инженерного,B-TERM,
40,подхода,I-TERM,
41,в,O,
42,описании,O,
43,сложного,O,
44,технологического,B-TERM,Q10843872
45,процесса,I-TERM,
46,с,O,
47,помощью,O,
48,экспериментально,B-TERM,
49,-,I-TERM,
50,аналитического,I-TERM,
51,метода,I-TERM,
52,разработки,O,
53,предикативной,B-TERM,
54,модели,I-TERM,
55,.,O,
