id,token,tag,wiki_id
0,Рассматривается,O,
1,архитектура,B-TERM,Q846636
2,универсальной,O,
3,программно,B-TERM,Q241317
4,-,I-TERM,
5,аппаратной,I-TERM,
6,платформы,I-TERM,
7,для,O,
8,сбора,B-TERM,Q4929239
9,",",O,
10,обработки,B-TERM,Q6661985
11,и,O,
12,хранения,B-TERM,Q57515336
13,данных,I-TERM,
14,",",O,
15,полу,O,
16,чаемых,O,
17,в,O,
18,результате,O,
19,проведения,O,
20,неразрушающего,B-TERM,Q626700
21,контроля,I-TERM,
22,изделий,O,
23,.,O,
24,Для,O,
25,процедуры,B-TERM,
26,обработки,I-TERM,
27,и,O,
28,фильтрации,B-TERM,
29,потоков,B-TERM,Q1172540
30,данных,I-TERM,
31,применен,O,
32,нейросетевой,B-TERM,
33,модуль,I-TERM,
34,",",O,
35,имеющий,O,
36,широкий,O,
37,потенциал,O,
38,своего,O,
39,применения,O,
40,—,O,
41,от,O,
42,распознавания,B-TERM,Q28038508
43,изображений,I-TERM,
44,до,O,
45,классификации,B-TERM,
46,данных,I-TERM,
47,.,O,
48,В,O,
49,качестве,O,
50,практического,O,
51,примера,O,
52,описывается,O,
53,система,B-TERM,
54,дистанционного,I-TERM,
55,контроля,I-TERM,
56,герметичности,B-TERM,
57,",",O,
58,построенная,O,
59,на,O,
60,основе,O,
61,вышеупомянутой,O,
62,платформы,B-TERM,Q241317
63,.,O,
