id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,представлены,O,
3,новые,O,
4,интеллектуальные,B-TERM,
5,методы,I-TERM,
6,принятия,I-TERM,
7,решений,I-TERM,
8,:,O,
9,метод,B-TERM,
10,логического,I-TERM,
11,синтеза,I-TERM,
12,сценариев,I-TERM,
13,динамическими,I-TERM,
14,суждениями,I-TERM,
15,",",O,
16,который,O,
17,можно,O,
18,применять,O,
19,для,O,
20,прогнозирования,B-TERM,
21,возможных,I-TERM,
22,последствий,I-TERM,
23,решений,I-TERM,
24,;,O,
25,метод,B-TERM,
26,аналитических,I-TERM,
27,сетей,I-TERM,
28,",",O,
29,позволяющий,O,
30,определить,O,
31,приоритеты,O,
32,альтернатив,O,
33,в,O,
34,условиях,O,
35,взаимного,B-TERM,
36,влияния,I-TERM,
37,;,O,
38,метод,B-TERM,
39,нечеткого,I-TERM,
40,логического,I-TERM,
41,вывода,I-TERM,
42,",",O,
43,обеспечивающий,O,
44,поддержку,B-TERM,
45,процессов,I-TERM,
46,принятия,I-TERM,
47,решений,I-TERM,
48,путем,O,
49,моделирования,B-TERM,
50,рассуждений,I-TERM,
51,на,O,
52,основе,O,
53,экспертных,B-TERM,
54,знаний,I-TERM,
55,;,O,
56,метод,B-TERM,
57,логического,I-TERM,
58,синтеза,I-TERM,
59,сценариев,I-TERM,
60,развития,I-TERM,
61,сложных,I-TERM,
62,систем,I-TERM,
63,",",O,
64,позволяющий,O,
65,прогнозировать,O,
66,будущее,O,
67,с,O,
68,учетом,O,
69,появления,O,
70,новых,O,
71,тенденций,O,
72,и,O,
73,событий,O,
74,",",O,
75,которые,O,
76,могли,O,
77,не,O,
78,иметь,O,
79,места,O,
80,в,O,
81,прошлом,O,
82,.,O,
83,Интеллектуальные,B-TERM,
84,системы,I-TERM,
85,компьютерной,I-TERM,
86,поддержки,I-TERM,
87,прошли,O,
88,практическую,B-TERM,
89,апробацию,I-TERM,
90,в,O,
91,течение,O,
92,нескольких,O,
93,лет,O,
94,при,O,
95,решении,O,
96,задач,O,
97,в,O,
98,таких,O,
99,областях,O,
100,",",O,
101,как,O,
102,экономика,B-TERM,Q8134
103,",",O,
104,инноватика,B-TERM,Q4201165
105,",",O,
106,менеджмент,B-TERM,
107,организаций,I-TERM,
108,",",O,
109,концептуальное,B-TERM,
110,проектирование,I-TERM,
111,новой,I-TERM,
112,техники,I-TERM,
113,",",O,
114,оценка,B-TERM,
115,интеллектуального,I-TERM,
116,капитала,I-TERM,
117,и,O,
118,др,O,
119,.,O,
