id,token,tag,wiki_id
0,Рассматриваются,O,
1,особенности,O,
2,описания,O,
3,семантики,B-TERM,Q39645
4,и,O,
5,разработки,B-TERM,
6,программной,I-TERM,
7,реализации,I-TERM,
8,компонента,I-TERM,
9,для,O,
10,представления,B-TERM,
11,элементов,I-TERM,
12,многоуровневых,I-TERM,
13,семантических,I-TERM,
14,моделей,I-TERM,
15,при,O,
16,использовании,O,
17,объектно,B-TERM,
18,-,I-TERM,
19,ориентированного,I-TERM,
20,подхода,I-TERM,
21,.,O,
22,Обсуждается,O,
23,применение,O,
24,понятий,O,
25,power,B-TERM,
26,type,I-TERM,
27,",",O,
28,clabject,B-TERM,
29,и,O,
30,метода,B-TERM,
31,многоуровневого,I-TERM,
32,объектно,I-TERM,
33,-,I-TERM,
34,ориентированного,I-TERM,
35,отображения,I-TERM,
36,при,O,
37,многоуровневом,B-TERM,
38,семантическом,I-TERM,
39,моделировании,I-TERM,
40,.,O,
