id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматриваются,O,
3,вопросы,O,
4,разработки,B-TERM,Q2971515
5,алгоритмов,I-TERM,
6,построения,I-TERM,
7,геодезических,B-TERM,Q213488
8,линий,I-TERM,
9,на,O,
10,поверхностях,B-TERM,Q484298
11,",",O,
12,заданных,O,
13,точечным,B-TERM,
14,базисом,I-TERM,
15,.,O,
16,В,O,
17,качестве,O,
18,среды,B-TERM,Q13741
19,разработки,I-TERM,
20,выбрана,O,
21,система,B-TERM,Q1133580
22,компьютерной,I-TERM,
23,математики,I-TERM,
24,Mathcad,I-TERM,
25,.,O,
26,Процесс,O,
27,реализации,O,
28,решения,O,
29,данной,O,
30,задачи,O,
31,базируется,O,
32,на,O,
33,вводе,O,
34,в,O,
35,математическую,B-TERM,Q486902
36,модель,I-TERM,
37,динамической,B-TERM,
38,локальной,I-TERM,
39,системы,I-TERM,
40,координат,I-TERM,
41,",",O,
42,поскольку,O,
43,построение,O,
44,геодезических,B-TERM,Q213488
45,линий,I-TERM,
46,выполняется,O,
47,до,O,
48,точки,B-TERM,Q723931
49,",",O,
50,находящейся,O,
51,в,O,
52,движении,O,
53,.,O,
54,Как,O,
55,результат,O,
56,можно,O,
57,рассматривать,O,
58,анимированное,B-TERM,
59,изображение,I-TERM,
60,",",O,
61,а,O,
62,также,O,
63,программный,B-TERM,Q128751
64,код,I-TERM,
65,с,O,
66,комментариями,B-TERM,Q1141067
67,",",O,
68,приведенный,O,
69,на,O,
70,сайте,O,
71,автора,O,
72,.,O,
