id,token,tag,wiki_id
0,Рассматривается,O,
1,задача,B-TERM,
2,оптимального,I-TERM,
3,управления,I-TERM,
4,местности,I-TERM,
5,с,O,
6,помощью,O,
7,группы,O,
8,мобильных,B-TERM,Q4810574
9,роботов,I-TERM,
10,.,O,
11,В,O,
12,задаче,O,
13,заданы,O,
14,местность,O,
15,с,O,
16,препятствиями,O,
17,и,O,
18,случайно,O,
19,расположенные,O,
20,метки,B-TERM,Q817849
21,на,O,
22,территории,O,
23,.,O,
24,Объекты,B-TERM,Q639588
25,управления,I-TERM,
26,имеют,O,
27,области,B-TERM,Q2523931
28,просмотра,I-TERM,
29,.,O,
30,Необходимо,O,
31,найти,O,
32,оптимальное,O,
33,управление,B-TERM,
34,",",O,
35,которое,O,
36,позволит,O,
37,покрыть,O,
38,областями,B-TERM,Q2523931
39,просмотра,I-TERM,
40,роботов,I-TERM,
41,наибольшее,O,
42,количество,O,
43,меток,B-TERM,Q817849
44,за,O,
45,заданное,O,
46,время,O,
47,или,O,
48,покрыть,O,
49,все,O,
50,метки,B-TERM,Q817849
51,за,O,
52,минимальное,O,
53,время,O,
54,.,O,
55,Дополнительно,O,
56,в,O,
57,контролируемой,B-TERM,
58,области,I-TERM,
59,находятся,O,
60,препятствия,O,
61,",",O,
62,которые,O,
63,не,O,
64,позволяют,O,
65,обеспечить,O,
66,движение,B-TERM,Q7353391
67,роботов,I-TERM,
68,по,O,
69,пути,B-TERM,
70,минимальной,I-TERM,
71,длины,I-TERM,
72,.,O,
73,Для,O,
74,решения,O,
75,задачи,O,
76,использован,O,
77,эволюционный,B-TERM,
78,алгоритм,I-TERM,
79,серого,I-TERM,
80,волка,I-TERM,
81,.,O,
82,Предложены,O,
83,два,O,
84,подхода,O,
85,к,O,
86,поиску,B-TERM,
87,оптимального,I-TERM,
88,управления,I-TERM,
89,на,O,
90,основе,O,
91,эволюционного,B-TERM,Q14489129
92,алгоритма,I-TERM,
93,:,O,
94,прямой,B-TERM,
95,поиск,I-TERM,
96,и,O,
97,двухэтапный,B-TERM,
98,поиск,I-TERM,
99,так,O,
100,называемого,O,
101,синтезированного,B-TERM,
102,оптимального,I-TERM,
103,управления,I-TERM,
104,.,O,
105,Представлены,O,
106,результаты,O,
107,решения,O,
108,задачи,O,
109,с,O,
110,помощью,O,
111,обоих,O,
112,подходов,O,
113,.,O,
