id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,изложено,O,
3,описание,O,
4,разработанных,O,
5,моделей,B-TERM,Q1979154
6,поведения,I-TERM,
7,объектов,I-TERM,
8,в,O,
9,задаче,B-TERM,
10,преследования,I-TERM,
11,",",O,
12,как,O,
13,и,O,
14,преследующего,O,
15,",",O,
16,так,O,
17,и,O,
18,преследуемого,O,
19,.,O,
20,Целью,O,
21,проведенных,O,
22,исследований,O,
23,является,O,
24,разработка,B-TERM,Q2971515
25,алгоритмов,I-TERM,
26,для,O,
27,автономных,O,
28,робототехнических,B-TERM,Q97315699
29,комплексов,I-TERM,
30,.,O,
31,В,O,
32,предлагаемых,O,
33,моделях,B-TERM,
34,поведения,I-TERM,
35,вводятся,O,
36,локальные,B-TERM,
37,динамические,I-TERM,
38,системы,I-TERM,
39,координат,I-TERM,
40,",",O,
41,которые,O,
42,формируются,O,
43,направлением,B-TERM,Q2151613
44,движения,I-TERM,
45,объектов,B-TERM,Q223557
46,.,O,
47,В,O,
48,течение,O,
49,определенного,O,
50,промежутка,B-TERM,Q186081
51,времени,I-TERM,
52,объект,B-TERM,Q223557
53,должен,O,
54,принять,O,
55,решение,O,
56,",",O,
57,в,O,
58,каком,O,
59,направлении,B-TERM,Q2151613
60,он,O,
61,должен,O,
62,двигаться,O,
63,в,O,
64,зависимости,O,
65,от,O,
66,результата,O,
67,анализа,O,
68,координат,B-TERM,Q6664315
69,второго,O,
70,объекта,B-TERM,Q223557
71,.,O,
72,В,O,
73,силу,O,
74,того,O,
75,",",O,
76,что,O,
77,объект,B-TERM,Q223557
78,при,O,
79,перемещении,B-TERM,Q190291
80,в,O,
81,пространстве,B-TERM,Q107
82,не,O,
83,может,O,
84,мгновенно,O,
85,производить,O,
86,смену,O,
87,направления,B-TERM,Q2151613
88,движения,I-TERM,
89,",",O,
90,в,O,
91,наших,O,
92,задачах,O,
93,«,O,
94,инертность,B-TERM,Q122508
95,»,O,
96,моделируется,O,
97,при,O,
98,помощи,O,
99,угловой,B-TERM,Q161635
100,скорости,I-TERM,
101,вращения,I-TERM,
102,.,O,
103,По,O,
104,предлагаемым,O,
105,моделям,B-TERM,
106,поведения,I-TERM,
107,объектов,I-TERM,
108,в,O,
109,задаче,B-TERM,
110,преследования,I-TERM,
111,написаны,O,
112,программы,B-TERM,Q40056
113,в,O,
114,системе,B-TERM,Q1133580
115,компьютерной,I-TERM,
116,математики,I-TERM,
117,Mathcad,I-TERM,
118,",",O,
119,с,O,
120,которыми,O,
121,можно,O,
122,ознакомиться,O,
123,на,O,
124,сайте,O,
125,автора,O,
126,.,O,
127,В,O,
128,результатах,O,
129,работы,O,
130,программ,B-TERM,Q40056
131,получены,O,
132,анимированные,B-TERM,
133,изображения,I-TERM,
134,движения,I-TERM,
135,объектов,I-TERM,
136,",",O,
137,ссылки,O,
138,на,O,
139,которые,O,
140,приводятся,O,
141,в,O,
142,тексте,O,
143,статьи,O,
144,.,O,
