id,token,tag,wiki_id
0,В,O,
1,рамках,O,
2,постановки,O,
3,и,O,
4,решения,O,
5,задачи,O,
6,аналитического,B-TERM,Q101116078
7,обзора,I-TERM,
8,рассмотрен,O,
9,ряд,O,
10,исследований,O,
11,",",O,
12,проводимых,O,
13,с,O,
14,целью,O,
15,извлечения,B-TERM,Q5147532
16,словосочетаний,I-TERM,
17,(,O,
18,коллокаций,B-TERM,Q1122269
19,),O,
20,из,O,
21,текстов,B-TERM,Q234460
22,на,O,
23,русском,O,
24,",",O,
25,украинском,O,
26,и,O,
27,польском,O,
28,языках,B-TERM,Q34770
29,.,O,
30,Описан,O,
31,ход,O,
32,развития,O,
33,текущих,O,
34,исследований,O,
35,для,O,
36,автоматизации,B-TERM,
37,анализа,I-TERM,
38,поэтических,I-TERM,
39,текстов,I-TERM,
40,",",O,
41,проводимых,O,
42,на,O,
43,базе,O,
44,ИВТ,B-TERM,Q4201460
45,СО,I-TERM,
46,РАН,I-TERM,
47,.,O,
