id,token,tag,wiki_id
0,Наиболее,O,
1,важным,O,
2,",",O,
3,интересным,O,
4,и,O,
5,сложным,O,
6,этапом,O,
7,автоматической,B-TERM,Q676880
8,обработки,I-TERM,
9,текстов,I-TERM,
10,считается,O,
11,этап,O,
12,семантического,B-TERM,Q3614998
13,анализа,I-TERM,
14,",",O,
15,целью,O,
16,которого,O,
17,является,O,
18,формальное,B-TERM,
19,представление,I-TERM,
20,смысла,I-TERM,
21,текста,I-TERM,
22,.,O,
23,Исследована,O,
24,возможность,O,
25,применения,O,
26,теории,B-TERM,Q1773538
27,риторических,I-TERM,
28,структур,I-TERM,
29,для,O,
30,анализа,B-TERM,Q676880
31,текстов,I-TERM,
32,научно,O,
33,-,O,
34,технической,O,
35,тематики,O,
36,на,O,
37,русском,O,
38,и,O,
39,казахском,O,
40,языках,O,
41,.,O,
42,Описаны,O,
43,некоторые,O,
44,формальные,O,
45,признаки,O,
46,риторических,B-TERM,
47,отношений,I-TERM,
48,.,O,
49,Сформулированы,O,
50,утверждения,O,
51,",",O,
52,связывающие,O,
53,выделенные,O,
54,признаки,O,
55,между,O,
56,собой,O,
57,.,O,
58,Для,O,
59,обоих,O,
60,языков,O,
61,научно,O,
62,-,O,
63,технические,O,
64,тексты,O,
65,в,O,
66,большей,O,
67,мере,O,
68,характеризуются,O,
69,следующими,O,
70,отношениями,B-TERM,
71,:,O,
72,Условие,B-TERM,
73,",",O,
74,Причина,B-TERM,
75,",",O,
76,Пример,B-TERM,
77,",",O,
78,Переформулировка,B-TERM,
79,.,O,
80,Кроме,O,
81,того,O,
82,",",O,
83,статьи,O,
84,на,O,
85,русском,O,
86,языке,O,
87,в,O,
88,большом,O,
89,количестве,O,
90,содержат,O,
91,отношение,B-TERM,
92,Контраст,B-TERM,
93,",",O,
94,а,O,
95,статьи,O,
96,на,O,
97,казахском,O,
98,—,O,
99,Цель,B-TERM,
100,.,O,
101,Основная,O,
102,проблема,O,
103,состоит,O,
104,в,O,
105,том,O,
106,",",O,
107,что,O,
108,достаточно,O,
109,сложно,O,
110,определить,O,
111,конкретное,O,
112,риторическое,B-TERM,
113,отношение,I-TERM,
114,",",O,
115,связывающее,O,
116,дискурсивные,B-TERM,
117,единицы,I-TERM,
118,.,O,
119,Планируется,O,
120,использовать,O,
121,предложенные,O,
122,методы,B-TERM,Q1799072
123,и,O,
124,созданные,O,
125,на,O,
126,их,O,
127,основе,O,
128,инструменты,B-TERM,
129,в,O,
130,системах,B-TERM,Q1662562
131,извлечения,I-TERM,
132,информации,I-TERM,
133,и,O,
134,автоматического,B-TERM,Q1394144
135,реферирования,I-TERM,
136,.,O,
