id,token,tag,wiki_id
0,Статья,O,
1,представляет,O,
2,собой,O,
3,обзорную,O,
4,лекцию,O,
5,по,O,
6,одному,O,
7,из,O,
8,современных,O,
9,направлений,O,
10,в,O,
11,прикладной,B-TERM,Q33521
12,математике,I-TERM,
13,",",O,
14,получившего,O,
15,название,O,
16,робастная,B-TERM,
17,оптимизация,I-TERM,
18,.,O,
19,Настоящее,O,
20,электронное,O,
21,издание,O,
22,включает,O,
23,публикуемое,O,
24,ниже,O,
25,предисловие,O,
26,",",O,
27,подробный,O,
28,список,O,
29,литературы,O,
30,",",O,
31,посвященный,O,
32,истории,O,
33,вопроса,O,
34,",",O,
35,а,O,
36,также,O,
37,видеозапись,O,
38,лекции,O,
39,и,O,
40,слайды,O,
41,",",O,
42,размещенные,O,
43,на,O,
44,странице,O,
45,номера,O,
46,журнала,O,
47,.,O,
