id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,рассмотрена,O,
3,проблема,O,
4,оценки,O,
5,состояния,O,
6,человека,B-TERM,Q1970438
7,-,I-TERM,
8,оператора,I-TERM,
9,в,O,
10,процессе,O,
11,пилотирования,B-TERM,Q15912898
12,.,O,
13,Предложены,O,
14,алгоритмы,O,
15,оценивания,O,
16,состояния,O,
17,человека,B-TERM,Q1970438
18,-,I-TERM,
19,оператора,I-TERM,
20,по,O,
21,данным,O,
22,его,O,
23,электроэнцефалограмм,B-TERM,Q4531136
24,с,O,
25,использованием,O,
26,методов,O,
27,спектрального,B-TERM,Q17763215
28,анализа,I-TERM,
29,и,O,
30,метода,B-TERM,Q2873
31,главных,I-TERM,
32,компонент,I-TERM,
33,.,O,
34,Суть,O,
35,методики,O,
36,заключается,O,
37,в,O,
38,выборе,O,
39,небольшого,O,
40,числа,O,
41,функциональных,B-TERM,
42,признаков,I-TERM,
43,",",O,
44,которые,O,
45,позволяют,O,
46,делать,O,
47,выводы,O,
48,о,O,
49,степени,B-TERM,
50,утомления,I-TERM,
51,человека,B-TERM,Q1970438
52,-,I-TERM,
53,оператора,I-TERM,
54,без,O,
55,потери,O,
56,информативности,O,
57,.,O,
58,Приведены,O,
59,результаты,O,
60,тестирования,B-TERM,
61,алгоритмов,I-TERM,
62,на,O,
63,экспериментальных,B-TERM,Q5421151
64,данных,I-TERM,
65,",",O,
66,полученных,O,
67,в,O,
68,процессе,O,
69,пилотирования,B-TERM,Q15912898
70,.,O,
71,Показана,O,
72,зависимость,O,
73,между,O,
74,степенью,B-TERM,
75,утомления,I-TERM,
76,человека,B-TERM,Q1970438
77,-,I-TERM,
78,оператора,I-TERM,
79,и,O,
80,качеством,O,
81,выполнения,O,
82,пилотажного,B-TERM,
83,задания,I-TERM,
84,.,O,
