id,token,tag,wiki_id
0,На,O,
1,основе,O,
2,разработанной,O,
3,математическая,B-TERM,
4,модели,I-TERM,
5,движения,I-TERM,
6,вагона,I-TERM,
7,реализуется,O,
8,алгоритм,B-TERM,
9,идентификации,I-TERM,
10,для,O,
11,оценки,B-TERM,Q486902
12,параметров,I-TERM,
13,математической,I-TERM,
14,модели,I-TERM,
15,.,O,
16,На,O,
17,основе,O,
18,линеаризованной,B-TERM,
19,модели,I-TERM,
20,движения,I-TERM,
21,реализуется,O,
22,алгоритм,B-TERM,
23,оценивания,I-TERM,
24,(,O,
25,фильтрации,B-TERM,
26,),O,
27,скорости,B-TERM,
28,движения,I-TERM,
29,вагона,I-TERM,
30,.,O,
31,Для,O,
32,выбранного,O,
33,закона,B-TERM,
34,управления,I-TERM,
35,движением,I-TERM,
36,вагона,I-TERM,
37,проводится,O,
38,моделирование,B-TERM,Q1116876
39,",",O,
40,подтверждающее,O,
41,работоспособность,O,
42,полученных,O,
43,алгоритмов,O,
44,при,O,
45,выбранном,O,
46,графике,O,
47,набора,O,
48,скорости,O,
49,движения,O,
50,вагона,O,
51,.,O,
