id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,продукционный,B-TERM,
4,метод,I-TERM,
5,описания,I-TERM,
6,автоматических,I-TERM,
7,регуляторов,I-TERM,
8,в,O,
9,гибридных,B-TERM,
10,системах,I-TERM,
11,цифрового,I-TERM,
12,управления,I-TERM,
13,непрерывными,I-TERM,
14,объектами,I-TERM,
15,.,O,
16,Моделью,B-TERM,Q676838
17,устройства,I-TERM,
18,управления,I-TERM,
19,служит,O,
20,алгоритм,B-TERM,
21,его,O,
22,работы,O,
23,в,O,
24,виде,O,
25,системы,B-TERM,
26,продукций,I-TERM,
27,как,O,
28,набора,B-TERM,
29,правил,I-TERM,
30,вида,I-TERM,
31,«,I-TERM,
32,условие,I-TERM,
33,—,I-TERM,
34,действие,I-TERM,
35,»,O,
36,.,O,
37,Демонстрируются,O,
38,преимущества,O,
39,такого,O,
40,подхода,B-TERM,
41,в,O,
42,задачах,B-TERM,
43,анализа,I-TERM,
44,и,O,
45,синтеза,B-TERM,
46,гибридных,I-TERM,
47,непрерывно,I-TERM,
48,-,I-TERM,
49,дискретных,I-TERM,
50,систем,I-TERM,
51,управления,I-TERM,
52,.,O,
