id,token,tag,wiki_id
0,Предлагается,O,
1,способ,O,
2,представления,B-TERM,Q3478658
3,знаний,I-TERM,
4,о,O,
5,формообразовании,B-TERM,Q4491905
6,естественных,I-TERM,
7,языков,I-TERM,
8,",",O,
9,включающий,O,
10,модель,B-TERM,
11,формообразования,I-TERM,
12,языка,I-TERM,
13,на,O,
14,основе,O,
15,трехуровневой,B-TERM,
16,иерархии,I-TERM,
17,слов,I-TERM,
18,«,O,
19,супертип,B-TERM,
20,»,O,
21,—,O,
22,«,O,
23,тип,B-TERM,
24,»,O,
25,—,O,
26,«,O,
27,семейство,B-TERM,
28,»,O,
29,",",O,
30,обеспечивающая,O,
31,низкую,B-TERM,
32,избыточность,I-TERM,
33,при,O,
34,описании,O,
35,парадигм,B-TERM,Q1428334
36,(,O,
37,например,O,
38,",",O,
39,для,O,
40,русских,O,
41,глаголов,B-TERM,Q24905
42,),O,
43,и,O,
44,",",O,
45,независимо,O,
46,от,O,
47,нее,O,
48,",",O,
49,модель,B-TERM,
50,правил,I-TERM,
51,формообразования,I-TERM,
52,в,O,
53,виде,O,
54,преобразований,B-TERM,
55,слов,I-TERM,
56,.,O,
57,Для,O,
58,случая,O,
59,только,O,
60,постфиксных,B-TERM,
61,правил,I-TERM,
62,формообразования,B-TERM,Q4491905
63,предлагается,O,
64,способ,B-TERM,
65,представления,I-TERM,
66,данных,I-TERM,
67,и,O,
68,алгоритм,B-TERM,Q8366
69,",",O,
70,обеспечивающие,O,
71,высокую,B-TERM,
72,скорость,I-TERM,
73,определения,I-TERM,
74,форм,I-TERM,
75,слов,I-TERM,
76,.,O,
77,В,O,
78,первой,O,
79,части,O,
80,статьи,O,
81,предложен,O,
82,способ,B-TERM,
83,представления,I-TERM,
84,правил,I-TERM,
85,формообразования,I-TERM,
86,и,O,
87,алгоритм,B-TERM,Q8366
88,",",O,
89,обеспечивающий,O,
90,высокую,B-TERM,
91,скорость,I-TERM,
92,анализа,I-TERM,
93,форм,I-TERM,
94,слов,O,
95,;,O,
96,во,O,
97,второй,O,
98,части,O,
99,статьи,O,
100,предложена,O,
101,структура,B-TERM,
102,представления,I-TERM,
103,знаний,I-TERM,
104,о,O,
105,формообразовании,B-TERM,Q4491905
106,и,O,
107,приведен,O,
108,пример,O,
109,описания,O,
110,формообразования,B-TERM,Q4491905
111,слов,O,
112,русского,O,
113,языка,O,
114,.,O,
