id,token,tag,wiki_id
0,В,O,
1,настоящее,O,
2,время,O,
3,объем,O,
4,накопленных,O,
5,генетических,B-TERM,
6,данных,I-TERM,
7,и,O,
8,знаний,O,
9,о,O,
10,процессе,O,
11,передачи,O,
12,наследственной,B-TERM,Q180618
13,информации,I-TERM,
14,позволяют,O,
15,предупредить,O,
16,возникновение,O,
17,болезней,B-TERM,Q12136
18,",",O,
19,связанных,O,
20,с,O,
21,генетическими,B-TERM,
22,модификациями,I-TERM,
23,(,O,
24,полиморфизмами,B-TERM,Q485680
25,),O,
26,.,O,
27,При,O,
28,этом,O,
29,наиболее,O,
30,актуальным,O,
31,направлением,O,
32,исследований,O,
33,является,O,
34,прогнозирование,B-TERM,
35,многофакторных,I-TERM,
36,заболеваниях,I-TERM,
37,",",O,
38,зависящих,O,
39,как,O,
40,от,O,
41,значений,O,
42,различных,O,
43,генов,B-TERM,Q7020
44,",",O,
45,так,O,
46,и,O,
47,от,O,
48,фенотипических,B-TERM,Q1211967
49,признаков,I-TERM,
50,(,O,
51,факторов,B-TERM,
52,окружающей,I-TERM,
53,среды,I-TERM,
54,),O,
55,.,O,
56,В,O,
57,статье,O,
58,рассматривается,O,
59,метод,B-TERM,
60,выделения,I-TERM,
61,решающих,I-TERM,
62,правил,I-TERM,
63,и,O,
64,расчета,B-TERM,
65,вероятности,I-TERM,
66,заболевания,I-TERM,
67,на,O,
68,основе,O,
69,всех,O,
70,типов,O,
71,факторов,B-TERM,Q1475848
72,риска,I-TERM,
73,.,O,
74,Формально,O,
75,задача,O,
76,заключается,O,
77,в,O,
78,построении,O,
79,классификатора,B-TERM,Q1744629
80,",",O,
81,относящего,O,
82,объект,O,
83,к,O,
84,тому,O,
85,или,O,
86,иному,O,
87,классу,O,
88,с,O,
89,некоторой,O,
90,вероятностной,O,
91,оценкой,O,
92,.,O,
93,Для,O,
94,выделения,O,
95,решающих,B-TERM,
96,правил,I-TERM,
97,применяется,O,
98,модификация,O,
99,технологии,B-TERM,
100,конструирования,I-TERM,
101,логических,I-TERM,
102,моделей,I-TERM,
103,в,O,
104,виде,O,
105,деревьев,B-TERM,Q831366
106,решений,I-TERM,
107,.,O,
108,Полученные,O,
109,правила,B-TERM,
110,используются,O,
111,для,O,
112,построения,O,
113,гиперграфа,B-TERM,
114,заболевания,I-TERM,
115,",",O,
116,который,O,
117,представляет,O,
118,собой,O,
119,байесовскую,B-TERM,Q812540
120,сеть,I-TERM,
121,доверия,I-TERM,
122,.,O,
123,Расчет,O,
124,вероятностной,B-TERM,
125,оценки,I-TERM,
126,выполняется,O,
127,по,O,
128,параметрам,B-TERM,
129,сети,I-TERM,
130,.,O,
131,Показано,O,
132,",",O,
133,что,O,
134,результаты,O,
135,предложенного,O,
136,метода,B-TERM,
137,прогнозирования,I-TERM,
138,имеют,O,
139,более,O,
140,точные,O,
141,результаты,O,
142,в,O,
143,сравнении,O,
144,с,O,
145,методом,B-TERM,Q815844
146,множественной,I-TERM,
147,регрессии,I-TERM,
148,и,O,
149,классического,O,
150,алгоритма,O,
151,построения,O,
152,деревьев,B-TERM,Q831366
153,решений,I-TERM,
154,(,O,
155,C4,O,
156,.,O,
157,5,O,
158,),O,
159,.,O,
