id,token,tag,wiki_id
0,Статья,O,
1,посвящена,O,
2,решению,O,
3,задачи,B-TERM,
4,повышения,I-TERM,
5,эффективности,I-TERM,
6,распределенных,I-TERM,
7,баз,I-TERM,
8,данных,I-TERM,
9,.,O,
10,Для,O,
11,увеличения,B-TERM,
12,производительности,I-TERM,
13,выполнения,I-TERM,
14,запросов,I-TERM,
15,необходимо,O,
16,искать,O,
17,решения,O,
18,",",O,
19,анализируя,O,
20,процесс,B-TERM,
21,выполнения,I-TERM,
22,запросов,I-TERM,
23,сервером,I-TERM,
24,—,O,
25,заменять,O,
26,запросы,B-TERM,
27,с,I-TERM,
28,выборкой,I-TERM,
29,без,I-TERM,
30,повторений,I-TERM,
31,",",O,
32,использовать,O,
33,индексы,O,
34,",",O,
35,оптимизировать,O,
36,структуру,B-TERM,
37,базы,I-TERM,
38,данных,I-TERM,
39,на,O,
40,этапе,O,
41,физического,B-TERM,
42,проектирования,I-TERM,
43,.,O,
