id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,сравниваются,O,
3,результаты,O,
4,работы,O,
5,алгоритмом,O,
6,машинного,B-TERM,Q2539
7,обучения,I-TERM,
8,SVM,B-TERM,Q282453
9,",",O,
10,ANN,B-TERM,Q192776
11,на,O,
12,наборе,B-TERM,Q1172284
13,данных,I-TERM,
14,из,O,
15,нормализованных,B-TERM,
16,ключевых,I-TERM,
17,точек,I-TERM,
18,и,O,
19,дистанций,B-TERM,Q126017
20,между,O,
21,ними,O,
22,",",O,
23,а,O,
24,также,O,
25,метода,B-TERM,Q48340
26,CNN,I-TERM,
27,на,O,
28,монохромны,B-TERM,Q10770146
29,изображениях,I-TERM,
30,.,O,
31,Проводится,O,
32,описание,O,
33,процесса,O,
34,подготовки,O,
35,базы,B-TERM,Q96213647
36,для,I-TERM,
37,обучения,I-TERM,
38,и,O,
39,экспериментального,B-TERM,Q101965
40,тестирования,I-TERM,
41,используемых,I-TERM,
42,методов,I-TERM,
43,.,O,
