id,token,tag,wiki_id
0,Предложен,O,
1,подход,B-TERM,
2,к,O,
3,оценке,O,
4,качества,O,
5,моделей,B-TERM,
6,прогнозирования,I-TERM,
7,на,O,
8,основе,O,
9,строго,B-TERM,
10,бинарных,I-TERM,
11,деревьев,I-TERM,
12,и,O,
13,модифицированного,O,
14,алгоритма,B-TERM,
15,клонального,I-TERM,
16,отбора,I-TERM,
17,.,O,
18,Показана,O,
19,целесообразность,O,
20,одновременного,O,
21,учета,O,
22,значений,O,
23,средней,B-TERM,
24,относительной,I-TERM,
25,ошибки,I-TERM,
26,прогнозирования,I-TERM,
27,и,O,
28,показателя,B-TERM,
29,несовпадения,I-TERM,
30,тенденций,I-TERM,
31,при,O,
32,оценке,O,
33,качества,O,
34,моделей,B-TERM,
35,прогнозирования,I-TERM,
36,",",O,
37,определяемых,O,
38,при,O,
39,реализации,O,
40,модифицированного,O,
41,алгоритма,B-TERM,
42,клонального,I-TERM,
43,отбора,I-TERM,
44,с,O,
45,использованием,O,
46,аналитических,O,
47,зависимостей,O,
48,",",O,
49,формируемых,O,
50,на,O,
51,основе,O,
52,строго,B-TERM,
53,бинарных,I-TERM,
54,деревьев,I-TERM,
55,.,O,
