id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,рассматриваются,O,
3,актуальные,O,
4,вопросы,O,
5,моделирования,B-TERM,
6,динамики,I-TERM,
7,некоторых,I-TERM,
8,продукта,I-TERM,
9,социально,I-TERM,
10,-,I-TERM,
11,экономических,I-TERM,
12,систем,I-TERM,
13,",",O,
14,не,O,
15,в,O,
16,полной,O,
17,мере,O,
18,поддающихся,O,
19,типовым,O,
20,эконометрическим,B-TERM,
21,методам,I-TERM,
22,статистического,I-TERM,
23,анализа,I-TERM,
24,.,O,
25,Приводится,O,
26,пример,O,
27,соответствующего,O,
28,временного,B-TERM,Q186588
29,ряда,I-TERM,
30,и,O,
31,схема,O,
32,его,O,
33,анализа,B-TERM,
34,",",O,
35,излагается,O,
36,концепция,O,
37,метода,B-TERM,
38,двойного,I-TERM,
39,сглаживания,I-TERM,
40,",",O,
41,описывается,O,
42,его,O,
43,применение,O,
44,к,O,
45,рассматриваемому,O,
46,примеру,O,
47,и,O,
48,обсуждается,O,
49,возможность,O,
50,его,O,
51,применения,O,
52,к,O,
53,моделированию,B-TERM,
54,динамики,I-TERM,
55,некоторых,I-TERM,
56,процессов,I-TERM,
57,в,I-TERM,
58,организационных,I-TERM,
59,системах,I-TERM,
60,.,O,
