id,token,tag,wiki_id
0,Работа,O,
1,является,O,
2,продолжением,O,
3,исследований,O,
4,авторов,O,
5,.,O,
6,В,O,
7,статье,O,
8,рассматривается,O,
9,выборка,B-TERM,
10,инвестиционных,I-TERM,
11,сделок,I-TERM,
12,в,O,
13,российские,O,
14,инновационные,O,
15,компании,O,
16,и,O,
17,основные,O,
18,детерминанты,B-TERM,
19,объема,I-TERM,
20,инвестиций,I-TERM,
21,на,O,
22,втором,B-TERM,
23,раунде,I-TERM,
24,.,O,
25,Исследуется,O,
26,зависимость,O,
27,объема,B-TERM,
28,инвестиций,I-TERM,
29,от,O,
30,величины,B-TERM,
31,предшествующего,I-TERM,
32,раунда,I-TERM,
33,",",O,
34,темпов,B-TERM,
35,роста,I-TERM,
36,целевого,I-TERM,
37,рынка,I-TERM,
38,",",O,
39,наличия,O,
40,в,O,
41,проекте,O,
42,опытных,O,
43,инвесторов,O,
44,.,O,
45,Новым,O,
46,результатом,O,
47,является,O,
48,исследование,O,
49,вероятности,O,
50,получения,O,
51,инвестиций,O,
52,во,O,
53,втором,B-TERM,
54,раунде,I-TERM,
55,от,O,
56,параметров,O,
57,компании,O,
58,первого,B-TERM,
59,раунда,I-TERM,
60,.,O,
