id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,рассмотрены,O,
3,вопросы,O,
4,оценки,O,
5,поведения,O,
6,сетевого,B-TERM,Q1172573
7,трафика,I-TERM,
8,",",O,
9,обладающего,O,
10,самоподобными,B-TERM,
11,свойствами,I-TERM,
12,и,O,
13,анализа,O,
14,полученных,O,
15,данных,O,
16,.,O,
17,Полученные,O,
18,результаты,O,
19,дают,O,
20,характеристику,B-TERM,
21,производительности,I-TERM,
22,компьютерных,I-TERM,
23,сетей,I-TERM,
24,сети,I-TERM,
25,Internet,I-TERM,
26,Целью,O,
27,данного,O,
28,исследования,O,
29,было,O,
30,определение,O,
31,условия,O,
32,возникновения,O,
33,хаотических,B-TERM,
34,явлений,I-TERM,
35,в,O,
36,инфокоммуникационных,I-TERM,
37,системах,I-TERM,
38,и,O,
39,способы,O,
40,уменьшения,O,
41,их,O,
42,влияния,B-TERM,
43,на,O,
44,пропускную,B-TERM,Q16688922
45,способность,I-TERM,
46,таких,I-TERM,
47,систем,I-TERM,
48,.,O,
49,На,O,
50,данный,O,
51,момент,O,
52,протокол,B-TERM,Q81414
53,TCP,I-TERM,
54,является,O,
55,основным,O,
56,протоколом,B-TERM,Q132364
57,передачи,I-TERM,
58,данных,I-TERM,
59,",",O,
60,считающийся,O,
61,основной,O,
62,причиной,O,
63,самоподобия,B-TERM,
64,трафика,I-TERM,
65,",",O,
66,поскольку,O,
67,статистические,B-TERM,
68,характеристики,I-TERM,
69,такого,O,
70,трафика,O,
71,обладают,O,
72,свойством,B-TERM,
73,временной,I-TERM,
74,масштабной,I-TERM,
75,инвариантности,I-TERM,
76,(,O,
77,самоподобием,B-TERM,Q262372
78,),O,
79,.,O,
80,Этот,O,
81,факт,O,
82,был,O,
83,подтвержден,O,
84,многочисленными,O,
85,исследованиями,O,
86,процессов,B-TERM,
87,в,O,
88,глобальной,B-TERM,Q5570871
89,сети,I-TERM,
90,Internet,I-TERM,
91,.,O,
92,В,O,
93,работе,O,
94,проведена,O,
95,оценка,O,
96,работы,O,
97,модельной,B-TERM,
98,компьютерной,I-TERM,
99,сети,I-TERM,
100,с,O,
101,помощью,O,
102,метода,B-TERM,
103,мультифрактального,I-TERM,
104,анализа,I-TERM,
105,производительности,I-TERM,
106,методов,B-TERM,
107,нелинейной,I-TERM,
108,динамики,I-TERM,
109,",",O,
110,которые,O,
111,используются,O,
112,для,O,
113,моделирования,B-TERM,Q1116876
114,",",O,
115,анализа,B-TERM,
116,и,O,
117,контроля,B-TERM,
118,сложных,I-TERM,
119,систем,I-TERM,
120,в,O,
121,различных,O,
122,областях,O,
123,науки,O,
124,и,O,
125,техники,O,
126,.,O,
127,С,O,
128,ростом,O,
129,глобальной,B-TERM,Q5570871
130,сети,I-TERM,
131,Internet,I-TERM,
132,увеличивается,O,
133,нагрузка,O,
134,на,O,
135,каналы,B-TERM,Q733553
136,связи,I-TERM,
137,",",O,
138,что,O,
139,в,O,
140,свою,O,
141,очередь,O,
142,накладывает,O,
143,более,O,
144,жесткие,O,
145,требования,O,
146,к,O,
147,качеству,O,
148,обслуживания,O,
149,(,O,
150,QoS,B-TERM,Q220501
151,),O,
152,.,O,
153,Поскольку,O,
154,сетевой,B-TERM,Q1172573
155,трафик,I-TERM,
156,обладает,O,
157,самоподобием,B-TERM,Q262372
158,",",O,
159,то,O,
160,игнорирование,O,
161,подобных,O,
162,особенностей,O,
163,может,O,
164,привести,O,
165,к,O,
166,увеличению,O,
167,задержки,B-TERM,Q1771903
168,в,O,
169,передаче,B-TERM,Q389772
170,данных,I-TERM,
171,",",O,
172,уменьшению,O,
173,пропускной,B-TERM,Q870845
174,способности,I-TERM,
175,компьютерной,B-TERM,Q1301371
176,сети,I-TERM,
177,и,O,
178,даже,O,
179,к,O,
180,потерям,O,
181,пакетов,O,
182,.,O,
183,Это,O,
184,накладывает,O,
185,определенные,O,
186,ограничения,O,
187,на,O,
188,традиционные,B-TERM,
189,методы,I-TERM,
190,при,O,
191,проектировании,O,
192,современных,O,
193,компьютерных,B-TERM,Q1301371
194,сетей,I-TERM,
195,.,O,
196,В,O,
197,работе,O,
198,предложен,O,
199,метод,B-TERM,
200,анализа,I-TERM,
201,производительности,I-TERM,
202,компьютерных,I-TERM,
203,сетей,I-TERM,
204,",",O,
205,учитывающий,O,
206,особенности,B-TERM,
207,протекающих,I-TERM,
208,в,I-TERM,
209,них,I-TERM,
210,процессов,I-TERM,
211,.,O,
212,Данная,O,
213,методика,B-TERM,
214,дает,O,
215,возможность,O,
216,дальнейшего,O,
217,прогнозирования,O,
218,поведения,O,
219,сетевого,B-TERM,Q1172573
220,трафика,I-TERM,
221,при,O,
222,изменении,O,
223,ключевых,O,
224,параметров,O,
225,",",O,
226,влияющих,O,
227,на,O,
228,работу,O,
229,сети,B-TERM,Q1301371
230,",",O,
231,а,O,
232,также,O,
233,предотвращения,O,
234,сетевых,B-TERM,
235,перегрузок,I-TERM,
236,и,O,
237,минимизации,O,
238,хаотических,B-TERM,
239,явлений,I-TERM,
240,.,O,
