id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,объектно,B-TERM,
4,-,I-TERM,
5,ориентированная,I-TERM,
6,модель,I-TERM,
7,",",O,
8,созданная,O,
9,при,O,
10,проектировании,O,
11,учебно,B-TERM,
12,-,I-TERM,
13,тренировочного,I-TERM,
14,средства,I-TERM,
15,(,O,
16,индекс,O,
17,изделия,O,
18,9Ф694,O,
19,-,O,
20,Э,O,
21,),O,
22,",",O,
23,предназначенного,O,
24,для,O,
25,подготовки,O,
26,экипажей,O,
27,пусковой,B-TERM,
28,установки,I-TERM,
29,9П78,O,
30,-,O,
31,1,O,
32,-,O,
33,Э,O,
34,экспортного,O,
35,варианта,O,
36,оперативно,B-TERM,Q4335190
37,-,I-TERM,
38,тактического,I-TERM,
39,ракетного,I-TERM,
40,комплекса,I-TERM,
41,(,O,
42,ОТРК,B-TERM,Q4335190
43,),O,
44,«,O,
45,Искандер,B-TERM,Q483042
46,-,I-TERM,
47,Э,I-TERM,
48,»,O,
49,(,O,
50,индекс,O,
51,изделия,O,
52,9К720,O,
53,),O,
54,.,O,
55,Приведены,O,
56,фрагменты,O,
57,созданной,O,
58,модели,O,
59,.,O,
60,Сформулированы,O,
61,основные,O,
62,умения,O,
63,",",O,
64,получаемые,O,
65,обучаемым,O,
66,экипажем,O,
67,в,O,
68,процессе,O,
69,обучения,O,
70,.,O,
71,Проектные,O,
72,решения,O,
73,",",O,
74,реализованные,O,
75,в,O,
76,9Ф694,O,
77,-,O,
78,Э,O,
79,",",O,
80,в,O,
81,настоящее,O,
82,время,O,
83,продуктивно,O,
84,используются,O,
85,в,O,
86,разрабатываемом,O,
87,проекте,O,
88,тренажера,O,
89,ОТРК,B-TERM,Q483042
90,«,I-TERM,
91,Искандер,I-TERM,
92,-,I-TERM,
93,Э,I-TERM,
94,»,I-TERM,
95,в,O,
96,целом,O,
97,.,O,
