id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,предложена,O,
3,методика,O,
4,анализа,O,
5,финансовой,B-TERM,
6,ситуаций,I-TERM,
7,",",O,
8,возникающих,O,
9,на,O,
10,многих,O,
11,предприятиях,B-TERM,Q6881511
12,в,O,
13,связи,O,
14,с,O,
15,запретами,O,
16,на,O,
17,импорт,B-TERM,
18,зарубежной,I-TERM,
19,продукции,I-TERM,
20,и,O,
21,материалов,O,
22,.,O,
23,В,O,
24,работе,O,
25,описаны,O,
26,возможные,O,
27,подходы,O,
28,к,O,
29,проблемам,O,
30,замещения,B-TERM,
31,импортной,I-TERM,
32,техники,I-TERM,
33,",",O,
34,предложена,O,
35,методика,O,
36,выработки,O,
37,управленческих,B-TERM,Q4476420
38,решений,I-TERM,
39,на,O,
40,основе,O,
41,анализа,O,
42,финансовой,B-TERM,
43,и,O,
44,патентной,B-TERM,
45,информации,I-TERM,
46,",",O,
47,рассмотрены,O,
48,причинно,O,
49,-,O,
50,следственные,O,
51,аспекты,O,
52,возможных,O,
53,решений,O,
54,",",O,
55,приведен,O,
56,пример,O,
57,применения,O,
58,предложенной,O,
59,методики,O,
60,в,O,
61,конкретной,O,
62,ситуации,O,
63,.,O,
