id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассмотрено,O,
3,решение,O,
4,задач,B-TERM,Q984063
5,оптимизации,I-TERM,
6,применительно,O,
7,к,O,
8,проблемам,O,
9,отражения,B-TERM,Q165939
10,и,O,
11,преломления,B-TERM,Q72277
12,луча,I-TERM,
13,света,I-TERM,
14,.,O,
15,Представлено,O,
16,численное,B-TERM,Q12041485
17,и,O,
18,аналитическое,B-TERM,Q38164910
19,решение,I-TERM,
20,алгебраических,B-TERM,Q50698
21,и,O,
22,дифференциальных,B-TERM,Q11214
23,уравнений,I-TERM,
24,линзы,B-TERM,Q768575
25,и,O,
26,фокусирующего,B-TERM,
27,зеркала,I-TERM,
28,в,O,
29,среде,B-TERM,Q1133580
30,Mathcad,I-TERM,
31,.,O,
32,Показано,O,
33,",",O,
34,как,O,
35,современные,O,
36,программные,B-TERM,
37,средства,I-TERM,
38,могут,O,
39,легко,O,
40,и,O,
41,изящно,O,
42,решать,O,
43,оптические,B-TERM,
44,задачи,I-TERM,
45,.,O,
46,Аналитически,O,
47,решено,O,
48,обыкновенное,O,
49,дифференциальное,B-TERM,Q11214
50,уравнение,I-TERM,
51,плоско,B-TERM,
52,-,I-TERM,
53,выпуклой,I-TERM,
54,линзы,I-TERM,
55,.,O,
56,Подчеркнуто,O,
57,оптическое,B-TERM,
58,свойство,I-TERM,
59,гиперболы,I-TERM,
60,",",O,
61,базирующееся,O,
62,не,O,
63,на,O,
64,законе,B-TERM,
65,преломления,I-TERM,
66,материала,I-TERM,
67,а,O,
68,на,O,
69,законе,B-TERM,Q208391
70,преломления,I-TERM,
71,света,I-TERM,
72,.,O,
73,Выведена,O,
74,формула,B-TERM,
75,коэффициента,I-TERM,
76,преломления,I-TERM,
77,материала,I-TERM,
78,плоскогиперболической,I-TERM,
79,линзы,I-TERM,
80,с,O,
81,совпадающими,O,
82,оптическим,B-TERM,
83,и,O,
84,геометрическим,B-TERM,
85,фокусами,I-TERM,
86,.,O,
