id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,подход,O,
4,к,O,
5,решению,O,
6,задачи,O,
7,многокритериальной,B-TERM,Q2052203
8,оптимизации,I-TERM,
9,в,O,
10,моделях,B-TERM,
11,прогнозирования,I-TERM,
12,временных,I-TERM,
13,рядов,I-TERM,
14,интервальных,I-TERM,
15,дискретных,I-TERM,
16,нечетких,I-TERM,
17,множеств,I-TERM,
18,второго,I-TERM,
19,типа,I-TERM,
20,(,O,
21,ИДНМТ2,B-TERM,
22,),O,
23,",",O,
24,при,O,
25,этом,O,
26,в,O,
27,качестве,O,
28,критериев,B-TERM,
29,оптимизации,I-TERM,
30,используются,O,
31,показатель,O,
32,средней,B-TERM,
33,относительной,I-TERM,
34,ошибки,I-TERM,
35,прогнозирования,I-TERM,
36,и,O,
37,показатель,O,
38,несовпадения,B-TERM,
39,тенденций,I-TERM,
40,.,O,
41,Приведены,O,
42,примеры,O,
43,решения,O,
44,задач,O,
45,краткосрочного,B-TERM,Q170198
46,прогнозирования,I-TERM,
47,временных,I-TERM,
48,рядов,I-TERM,
49,социально,B-TERM,
50,-,I-TERM,
51,экономической,I-TERM,
52,сферы,I-TERM,
53,в,O,
54,условиях,O,
55,многокритериальной,B-TERM,Q2052203
56,оптимизации,I-TERM,
57,",",O,
58,подтверждающие,O,
59,эффективность,O,
60,предлагаемого,O,
61,подхода,O,
62,к,O,
63,решению,O,
64,задачи,O,
65,многокритериальной,B-TERM,Q2052203
66,оптимизации,I-TERM,
67,в,O,
68,моделях,B-TERM,
69,прогнозирования,I-TERM,
70,на,O,
71,основе,O,
72,ИДНМТ2,B-TERM,
73,.,O,
