id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассмотрено,O,
3,математическое,B-TERM,
4,моделирование,I-TERM,
5,динамики,I-TERM,
6,движения,I-TERM,
7,бионического,I-TERM,
8,плавающего,I-TERM,
9,робота,I-TERM,
10,в,O,
11,горизонтальной,B-TERM,
12,плоскости,I-TERM,
13,",",O,
14,а,O,
15,также,O,
16,конструктивные,O,
17,особенности,O,
18,робота,B-TERM,Q11012
19,и,O,
20,его,O,
21,подсистем,O,
22,.,O,
23,Описаны,O,
24,некоторые,O,
25,результаты,O,
26,численных,O,
27,и,O,
28,экспериментальных,B-TERM,
29,исследований,I-TERM,
30,.,O,
