id,token,tag,wiki_id
0,Приведены,O,
1,результаты,O,
2,сравнительного,B-TERM,
3,анализа,I-TERM,
4,практически,O,
5,востребованных,O,
6,алгоритмов,B-TERM,Q8366
7,формирования,B-TERM,
8,двумерных,B-TERM,
9,фракталов,I-TERM,
10,",",O,
11,обладающих,O,
12,высоким,O,
13,быстродействием,B-TERM,Q1197550
14,и,O,
15,низкой,O,
16,ресурсоемкостью,B-TERM,
17,.,O,
18,Обосновывается,O,
19,практическая,O,
20,целесообразность,O,
21,предложенного,O,
22,алгоритма,B-TERM,Q8366
23,синтеза,B-TERM,Q1134306
24,трехмерных,B-TERM,
25,фрактальных,I-TERM,
26,структур,I-TERM,
27,",",O,
28,представляющегося,O,
29,из,O,
30,себя,O,
31,функциональное,O,
32,единство,O,
33,алгоритмов,B-TERM,Q8366
34,формирования,B-TERM,
35,двоичного,I-TERM,
36,дерева,I-TERM,
37,и,O,
38,кривой,B-TERM,Q643749
39,«,I-TERM,
40,дракона,I-TERM,
41,»,I-TERM,
42,.,O,
43,Результаты,O,
44,проведенных,O,
45,численных,B-TERM,
46,экспериментальных,I-TERM,
47,исследований,I-TERM,
48,подтвердили,O,
49,работоспособность,O,
50,предлагаемого,O,
51,алгоритма,B-TERM,Q8366
52,.,O,
