id,token,tag,wiki_id
0,В,O,
1,настоящее,O,
2,время,O,
3,приоритетным,O,
4,направлением,O,
5,в,O,
6,области,O,
7,создания,O,
8,новых,O,
9,пищевых,O,
10,продуктов,O,
11,является,O,
12,разработка,B-TERM,
13,технологий,I-TERM,
14,изделий,I-TERM,
15,специализированного,I-TERM,
16,назначения,I-TERM,
17,.,O,
18,К,O,
19,таким,O,
20,видам,O,
21,продуктов,O,
22,относятся,O,
23,безглютеновые,B-TERM,
24,мучные,I-TERM,
25,кондитерские,I-TERM,
26,изделия,I-TERM,
27,",",O,
28,предназначенные,O,
29,для,O,
30,людей,O,
31,",",O,
32,больных,O,
33,целиакией,B-TERM,Q11088
34,.,O,
35,Безглютеновая,B-TERM,
36,продукция,I-TERM,
37,пользуется,O,
38,спросом,O,
39,среди,O,
40,потребителей,O,
41,",",O,
42,нуждается,O,
43,в,O,
44,расширении,O,
45,ассортимента,O,
46,",",O,
47,улучшении,O,
48,качественных,O,
49,показателей,O,
50,.,O,
51,В,O,
52,статье,O,
53,приведены,O,
54,результаты,O,
55,исследований,O,
56,по,O,
57,разработке,B-TERM,
58,мучных,I-TERM,
59,кондитерских,I-TERM,
60,изделий,I-TERM,
61,на,O,
62,основе,O,
63,амарантовой,B-TERM,Q10407363
64,муки,I-TERM,
65,",",O,
66,не,O,
67,содержащих,O,
68,глютена,B-TERM,Q188251
69,.,O,
70,Использован,O,
71,метод,B-TERM,
72,имитационного,I-TERM,
73,моделирования,I-TERM,
74,рецептур,I-TERM,
75,безглютеновых,I-TERM,
76,мучных,I-TERM,
77,кондитерских,I-TERM,
78,изделий,I-TERM,
79,функциональной,I-TERM,
80,направленности,I-TERM,
81,с,O,
82,целью,O,
83,оптимизации,O,
84,их,O,
85,химического,B-TERM,Q1263816
86,состава,I-TERM,
87,.,O,
88,Полученная,O,
89,продукция,O,
90,позволит,O,
91,разнообразить,O,
92,и,O,
93,дополнить,O,
94,необходимыми,O,
95,нутриентами,B-TERM,Q189598
96,рацион,B-TERM,Q474191
97,питания,I-TERM,
98,для,O,
99,людей,O,
100,с,O,
101,непереносимостью,B-TERM,
102,глютена,I-TERM,
103,",",O,
104,а,O,
105,также,O,
106,для,O,
107,людей,O,
108,",",O,
109,соблюдающих,O,
110,безглютеновую,B-TERM,Q2632776
111,диету,I-TERM,
112,.,O,
