id,token,tag,wiki_id
0,Рассматриваются,O,
1,подходы,O,
2,к,O,
3,решению,O,
4,задачи,O,
5,поиска,O,
6,параметров,O,
7,SVM,B-TERM,Q282453
8,-,I-TERM,
9,классификатора,I-TERM,
10,на,O,
11,основе,O,
12,гибридизации,B-TERM,
13,алгоритма,B-TERM,Q2072794
14,роя,I-TERM,
15,частиц,I-TERM,
16,(,O,
17,PSO,B-TERM,Q2072794
18,-,I-TERM,
19,алгоритм,I-TERM,
20,),O,
21,и,O,
22,алгоритмов,B-TERM,
23,поиска,I-TERM,
24,по,I-TERM,
25,сетке,I-TERM,
26,с,O,
27,целью,O,
28,сокращения,O,
29,высокого,O,
30,качества,O,
31,классификационных,B-TERM,
32,решений,I-TERM,
33,.,O,
34,В,O,
35,работе,O,
36,представлены,O,
37,две,O,
38,гибридные,O,
39,версии,O,
40,базового,B-TERM,Q2072794
41,PSO,I-TERM,
42,-,I-TERM,
43,алгоритма,I-TERM,
44,",",O,
45,предполагающие,O,
46,использование,O,
47,соответственно,O,
48,классического,O,
49,алгоритма,B-TERM,
50,Grid,I-TERM,
51,Search,I-TERM,
52,(,O,
53,GS,B-TERM,
54,-,I-TERM,
55,алгоритм,I-TERM,
56,),O,
57,и,O,
58,алгоритма,B-TERM,
59,Design,I-TERM,
60,of,I-TERM,
61,Experiment,I-TERM,
62,(,O,
63,DOE,B-TERM,
64,-,I-TERM,
65,алгоритм,I-TERM,
66,),O,
67,.,O,
68,При,O,
69,этом,O,
70,в,O,
71,качестве,O,
72,базового,O,
73,используется,O,
74,канонический,O,
75,PSO,B-TERM,Q2072794
76,-,I-TERM,
77,алгоритм,I-TERM,
78,.,O,
79,Результаты,O,
80,проведенных,O,
81,исследований,O,
82,демонстрируют,O,
83,целесообразность,O,
84,применения,O,
85,гибридных,O,
86,версий,O,
87,базового,O,
88,PSO,B-TERM,Q2072794
89,-,I-TERM,
90,алгоритма,I-TERM,
91,с,O,
92,целью,O,
93,сокращения,O,
94,временных,O,
95,затрат,O,
96,на,O,
97,поиск,O,
98,оптимальных,O,
99,значений,O,
100,параметров,O,
101,SVM,B-TERM,Q282453
102,-,I-TERM,
103,классификатора,I-TERM,
104,при,O,
105,сохранении,O,
106,высокого,O,
107,качества,O,
108,его,O,
109,классификационных,B-TERM,
110,решений,I-TERM,
111,.,O,
