id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,предложены,O,
3,новые,O,
4,методы,B-TERM,
5,построения,I-TERM,
6,кривых,I-TERM,
7,по,,
8,связанных,O,
9,в,O,
10,том,O,
11,числе,O,
12,и,O,
13,с,O,
14,вычислительными,B-TERM,
15,операторами,I-TERM,
16,сложения,B-TERM,Q32043
17,(,O,
18,эллипс,B-TERM,Q40112
19,),O,
20,",",O,
21,вычитания,B-TERM,Q40754
22,(,O,
23,гипербола,B-TERM,Q165301
24,),O,
25,",",O,
26,умножения,B-TERM,Q40276
27,(,O,
28,овал,B-TERM,Q728699
29,Кассини,I-TERM,
30,),O,
31,и,O,
32,деления,B-TERM,Q1226939
33,(,O,
34,окружность,B-TERM,Q773862
35,Аполлония,I-TERM,
36,),O,
37,.,O,
38,Исследованы,O,
39,свойства,O,
40,кривых,B-TERM,
41,по,O,
42,трем,O,
43,другим,O,
44,вычислительным,B-TERM,
45,операторам,I-TERM,
46,:,O,
47,возведение,B-TERM,Q33456
48,в,I-TERM,
49,степень,I-TERM,
50,",",O,
51,логарифм,B-TERM,Q11197
52,по,I-TERM,
53,заданному,I-TERM,
54,основанию,I-TERM,
55,и,O,
56,корень,B-TERM,Q601053
57,n,I-TERM,
58,-,I-TERM,
59,й,I-TERM,
60,степени,I-TERM,
61,.,O,
62,Подвергнута,O,
63,ревизии,O,
64,теория,B-TERM,
65,размерных,I-TERM,
66,величин,I-TERM,
67,—,O,
68,обоснована,O,
69,возможность,O,
70,и,O,
71,необходимость,O,
72,работы,O,
73,с,O,
74,размерными,B-TERM,
75,величинами,I-TERM,
76,в,O,
77,показателе,B-TERM,Q2233915
78,степени,I-TERM,
79,.,O,
