id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассмотрена,O,
3,задача,O,
4,определения,O,
5,вероятности,B-TERM,Q9492
6,получения,O,
7,гиперболы,B-TERM,Q165301
8,или,O,
9,эллипса,B-TERM,Q40112
10,",",O,
11,проходящих,O,
12,через,O,
13,пять,O,
14,случайных,O,
15,точек,B-TERM,
16,на,I-TERM,
17,плоскости,I-TERM,
18,.,O,
19,Рассмотрена,O,
20,технология,B-TERM,
21,решения,I-TERM,
22,математических,O,
23,и,O,
24,прочих,O,
25,задач,B-TERM,
26,посредством,O,
27,обращения,O,
28,на,O,
29,специализированные,O,
30,форумы,B-TERM,Q3845375
31,Интернета,I-TERM,
32,.,O,
33,Обсуждаются,O,
34,вопросы,O,
35,современных,O,
36,методов,B-TERM,Q350453
37,преподавания,I-TERM,
38,математики,B-TERM,Q395
39,в,O,
40,инженерном,B-TERM,Q1663017
41,вузе,I-TERM,
42,.,O,
