id,token,tag,wiki_id
0,Представлен,O,
1,один,O,
2,из,O,
3,вариантов,O,
4,реализации,O,
5,типовой,O,
6,для,O,
7,информационных,B-TERM,Q121182
8,систем,I-TERM,
9,задачи,O,
10,—,O,
11,построение,O,
12,сводного,B-TERM,
13,статистического,I-TERM,
14,отчета,I-TERM,
15,.,O,
16,Рассматриваются,O,
17,аспекты,O,
18,применения,O,
19,технологии,O,
20,OLAP,B-TERM,Q642514
21,.,O,
22,Предлагается,O,
23,альтернативный,O,
24,подход,O,
25,реализации,O,
26,сводных,B-TERM,
27,отчетов,I-TERM,
28,",",O,
29,не,O,
30,требующий,O,
31,внедрения,O,
32,OLAP,B-TERM,Q642514
33,-,I-TERM,
34,системы,I-TERM,
35,.,O,
36,На,O,
37,практическом,O,
38,примере,O,
39,разработки,O,
40,отчета,O,
41,ВПО,B-TERM,
42,проводится,O,
43,сравнение,O,
44,стандартного,O,
45,варианта,O,
46,решения,O,
47,для,O,
48,реляционных,B-TERM,Q192588
49,баз,I-TERM,
50,данных,I-TERM,
51,—,O,
52,написание,O,
53,команды,B-TERM,Q1079196
54,на,O,
55,структурированном,B-TERM,Q845739
56,языке,I-TERM,
57,запросов,I-TERM,
58,(,O,
59,T,B-TERM,Q1411245
60,-,I-TERM,
61,SQL,I-TERM,
62,),O,
63,и,O,
64,предлагаемого,O,
65,метода,O,
66,—,O,
67,реализации,O,
68,процедуры,B-TERM,Q190686
69,",",O,
70,позволяющей,O,
71,получить,O,
72,как,O,
73,сводные,B-TERM,
74,данные,I-TERM,
75,",",O,
76,так,O,
77,и,O,
78,детализацию,O,
79,каждой,O,
80,отдельной,O,
81,ячейки,B-TERM,
82,сводки,I-TERM,
83,.,O,
84,Представлена,O,
85,блок,B-TERM,Q185092
86,-,I-TERM,
87,схема,I-TERM,
88,процедуры,B-TERM,Q190686
89,и,O,
90,выдержки,O,
91,программного,B-TERM,Q128751
92,кода,I-TERM,
93,.,O,
94,На,O,
95,основании,O,
96,апробации,B-TERM,Q188522
97,в,O,
98,информационных,B-TERM,Q121182
99,системах,I-TERM,
100,НИУ,O,
101,МЭИ,O,
102,и,O,
103,представленных,O,
104,результатах,B-TERM,Q17104930
105,тестирования,I-TERM,
106,на,O,
107,выборках,B-TERM,Q49906
108,различного,O,
109,размера,O,
110,выделены,O,
111,плюсы,O,
112,и,O,
113,минусы,O,
114,метода,O,
115,",",O,
116,даны,O,
117,рекомендации,O,
118,по,O,
119,использованию,O,
120,и,O,
121,перспективные,O,
122,направления,O,
123,развития,O,
124,.,O,
