id,token,tag,wiki_id
0,Анализируются,O,
1,тетраэдрическая,B-TERM,
2,модель,I-TERM,
3,и,O,
4,способ,O,
5,получения,O,
6,кубической,B-TERM,
7,модели,I-TERM,
8,кристаллической,B-TERM,Q1958447
9,решетки,I-TERM,
10,гексагонального,B-TERM,Q411827
11,алмаза,I-TERM,
12,(,O,
13,лонсдейлита,B-TERM,Q411827
14,),O,
15,.,O,
16,Разрабатывается,O,
17,кубическая,B-TERM,
18,модель,I-TERM,
19,кристаллической,B-TERM,Q1958447
20,решетки,I-TERM,
21,гексагонального,B-TERM,Q411827
22,алмаза,I-TERM,
23,.,O,
24,Показывается,O,
25,эквивалентность,O,
26,кубической,B-TERM,
27,и,O,
28,тетраэдрической,B-TERM,
29,моделей,I-TERM,
30,.,O,
