id,token,tag,wiki_id
0,Согласно,O,
1,многим,O,
2,исследованиям,O,
3,",",O,
4,профессиональные,B-TERM,
5,социальные,I-TERM,
6,сети,I-TERM,
7,не,O,
8,получили,O,
9,широкого,O,
10,распространения,O,
11,в,O,
12,среде,O,
13,профессионалов,O,
14,по,O,
15,охране,B-TERM,Q31207
16,здоровья,I-TERM,
17,.,O,
18,Специализированные,B-TERM,
19,профессиональные,I-TERM,
20,интернет,I-TERM,
21,-,I-TERM,
22,ресурсы,I-TERM,
23,имеют,O,
24,отличия,O,
25,от,O,
26,широко,O,
27,используемых,O,
28,для,O,
29,общения,O,
30,социальных,B-TERM,Q3220391
31,сетей,I-TERM,
32,.,O,
33,С,O,
34,одной,O,
35,стороны,O,
36,",",O,
37,профессиональные,B-TERM,
38,социальные,I-TERM,
39,сети,I-TERM,
40,для,O,
41,области,B-TERM,Q31207
42,здравоохранения,I-TERM,
43,создаются,O,
44,на,O,
45,принципах,O,
46,открытости,O,
47,и,O,
48,привлекательности,O,
49,для,O,
50,большого,O,
51,числа,O,
52,пользователей,O,
53,",",O,
54,с,O,
55,другой,O,
56,—,O,
57,требуется,O,
58,сохранение,O,
59,профессиональных,O,
60,этических,O,
61,норм,O,
62,в,O,
63,области,O,
64,охраны,B-TERM,Q31207
65,здоровья,I-TERM,
66,и,O,
67,соблюдение,O,
68,правил,O,
69,доступа,O,
70,на,O,
71,основании,O,
72,подтвержденной,O,
73,квалификации,B-TERM,Q189533
74,профессиональной,O,
75,деятельности,O,
76,.,O,
77,Разработка,O,
78,специализированных,O,
79,инструментов,O,
80,направлена,O,
81,на,O,
82,привлечение,O,
83,интереса,O,
84,специалистов,O,
85,.,O,
86,Статья,O,
87,посвящена,O,
88,двум,O,
89,цифровым,O,
90,инструментам,O,
91,для,O,
92,профессиональных,B-TERM,
93,социальных,I-TERM,
94,сетей,I-TERM,
95,.,O,
96,Первым,O,
97,инструментом,O,
98,является,O,
99,включение,O,
100,в,O,
101,интернет,B-TERM,
102,-,I-TERM,
103,ресурсы,I-TERM,
104,системы,B-TERM,Q182250
105,электронного,I-TERM,
106,обучения,I-TERM,
107,",",O,
108,как,O,
109,для,O,
110,повышения,O,
111,уровня,O,
112,знаний,O,
113,",",O,
114,так,O,
115,и,O,
116,для,O,
117,подтверждения,O,
118,квалификационных,B-TERM,Q7535186
119,навыков,I-TERM,
120,в,O,
121,среде,B-TERM,
122,профессионалов,I-TERM,
123,.,O,
124,Вторым,O,
125,инструментом,O,
126,является,O,
127,разработанная,O,
128,система,B-TERM,
129,формирования,I-TERM,
130,опросов,I-TERM,
131,в,O,
132,профессиональной,O,
133,психологической,O,
134,платформе,B-TERM,
135,для,O,
136,анализа,B-TERM,
137,психического,I-TERM,
138,здоровья,I-TERM,
139,.,O,
140,Приведены,O,
141,принципы,O,
142,построения,O,
143,программного,B-TERM,Q7397
144,обеспечения,I-TERM,
145,и,O,
146,примеры,O,
147,использования,O,
148,.,O,
