id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,рассмотрены,O,
3,вопросы,O,
4,управления,O,
5,ориентацией,B-TERM,
6,прыгающего,I-TERM,
7,колесного,I-TERM,
8,робота,I-TERM,
9,при,O,
10,прыжках,B-TERM,Q1151752
11,по,O,
12,наклонным,B-TERM,
13,поверхностям,I-TERM,
14,.,O,
15,Для,O,
16,этого,O,
17,разработана,O,
18,обобщенная,O,
19,математическая,B-TERM,Q486902
20,модель,I-TERM,
21,устройства,I-TERM,
22,",",O,
23,а,O,
24,также,O,
25,модель,B-TERM,
26,движения,I-TERM,
27,робота,B-TERM,Q11012
28,во,O,
29,время,O,
30,полета,B-TERM,Q206021
31,",",O,
32,для,O,
33,построения,O,
34,траектории,B-TERM,
35,полета,I-TERM,
36,используется,O,
37,решение,O,
38,оптимизационной,B-TERM,Q984063
39,задачи,I-TERM,
40,",",O,
41,сведенной,O,
42,к,O,
43,задаче,B-TERM,Q290117
44,квадратичного,I-TERM,
45,программирования,I-TERM,
46,.,O,
47,Выявлены,O,
48,закономерности,B-TERM,Q4184950
49,изменения,O,
50,времени,B-TERM,
51,полета,I-TERM,
52,",",O,
53,а,O,
54,также,O,
55,угловых,B-TERM,Q161635
56,скоростей,I-TERM,
57,вращения,O,
58,колес,O,
59,и,O,
60,генерирующих,O,
61,их,O,
62,моментов,B-TERM,
63,приводов,I-TERM,
64,от,O,
65,углов,O,
66,наклона,B-TERM,Q2050624
67,поверхностей,I-TERM,
68,отрыва,B-TERM,
69,и,O,
70,приземления,B-TERM,
71,.,O,
