id,token,tag,wiki_id
0,Аппарат,B-TERM,Q192776
1,нейронных,I-TERM,
2,сетей,I-TERM,
3,сложен,O,
4,с,O,
5,вычислительной,O,
6,точки,O,
7,зрения,O,
8,и,O,
9,требует,O,
10,использования,O,
11,сложного,O,
12,аппаратного,B-TERM,Q3966
13,обеспечения,I-TERM,
14,",",O,
15,такого,O,
16,как,O,
17,графические,B-TERM,Q183484
18,процессоры,I-TERM,
19,(,O,
20,GPU,B-TERM,Q183484
21,),O,
22,.,O,
23,В,O,
24,настоящее,O,
25,время,O,
26,активно,O,
27,развивается,O,
28,направление,O,
29,",",O,
30,связанное,O,
31,с,O,
32,проектированием,B-TERM,Q43283
33,нейронных,B-TERM,Q192776
34,сетей,I-TERM,
35,для,O,
36,использования,O,
37,в,O,
38,мобильных,B-TERM,Q5082128
39,и,O,
40,встроенных,B-TERM,
41,устройствах,I-TERM,
42,.,O,
43,Такие,O,
44,сети,B-TERM,Q192776
45,отличаются,O,
46,малым,O,
47,числом,O,
48,весов,B-TERM,
49,и,O,
50,относительно,O,
51,небольшим,O,
52,числом,O,
53,арифметических,B-TERM,Q3884033
54,операций,I-TERM,
55,",",O,
56,однако,O,
57,они,O,
58,также,O,
59,выполняются,O,
60,на,O,
61,программном,B-TERM,
62,уровне,I-TERM,
63,и,O,
64,используют,O,
65,для,O,
66,работы,O,
67,вычисления,B-TERM,Q1530622
68,с,I-TERM,
69,плавающей,I-TERM,
70,точкой,I-TERM,
71,.,O,
72,В,O,
73,устройствах,O,
74,",",O,
75,где,O,
76,требуется,O,
77,высокая,O,
78,скорость,O,
79,работы,O,
80,",",O,
81,например,O,
82,обработка,O,
83,видео,O,
84,в,O,
85,реальном,O,
86,времени,O,
87,(,O,
88,30,O,
89,кадров,O,
90,в,O,
91,секунду,O,
92,),O,
93,",",O,
94,мобильные,B-TERM,
95,сети,I-TERM,
96,зачастую,O,
97,не,O,
98,обеспечивают,O,
99,достаточный,O,
100,уровень,O,
101,быстродействия,O,
102,.,O,
103,Для,O,
104,решения,O,
105,проблемы,O,
106,на,O,
107,этапе,O,
108,",",O,
109,когда,O,
110,уже,O,
111,подготовлена,O,
112,и,O,
113,обучена,O,
114,модель,B-TERM,Q192776
115,в,O,
116,реальном,O,
117,устройстве,O,
118,",",O,
119,можно,O,
120,применить,O,
121,набор,B-TERM,Q141495
122,оптимизаций,I-TERM,
123,",",O,
124,позволяющих,O,
125,ускорить,O,
126,выполнение,B-TERM,Q622821
127,вычислений,I-TERM,
128,в,O,
129,несколько,O,
130,раз,O,
131,.,O,
132,Предлагается,O,
133,перейти,O,
134,от,O,
135,вычислений,B-TERM,Q622821
136,на,O,
137,программном,B-TERM,
138,уровне,I-TERM,
139,к,O,
140,аппаратной,B-TERM,
141,реализации,I-TERM,
142,",",O,
143,а,O,
144,также,O,
145,перейти,O,
146,от,O,
147,вычислений,B-TERM,Q1530622
148,с,I-TERM,
149,плавающей,I-TERM,
150,точкой,I-TERM,
151,к,O,
152,фиксированной,B-TERM,Q649900
153,точке,I-TERM,
154,.,O,
155,Предлагается,O,
156,набор,O,
157,методов,O,
158,для,O,
159,проектирования,B-TERM,
160,нейросети,B-TERM,Q192776
161,",",O,
162,для,O,
163,повышения,O,
164,быстродействия,B-TERM,Q1197550
165,и,O,
166,точности,B-TERM,Q272035
167,в,O,
168,случае,O,
169,использования,O,
170,фиксированной,B-TERM,Q649900
171,точки,I-TERM,
172,.,O,
173,Приводится,O,
174,пример,O,
175,проектирования,B-TERM,Q43283
176,устройства,B-TERM,Q778637
177,вывода,I-TERM,
178,решения,O,
179,конкретной,O,
180,практической,O,
181,задачи,O,
182,.,O,
183,Показывается,O,
184,",",O,
185,как,O,
186,можно,O,
187,адаптировать,O,
188,существующие,O,
189,наборы,B-TERM,Q1172284
190,данных,I-TERM,
191,(,O,
192,датасеты,B-TERM,Q1172284
193,),O,
194,для,O,
195,использования,O,
196,в,O,
197,других,O,
198,задачах,B-TERM,Q378859
199,распознавания,I-TERM,
200,.,O,
201,Приводится,O,
202,пример,O,
203,разработки,O,
204,проекта,O,
205,для,O,
206,прототипирования,O,
207,в,O,
208,ПЛИС,B-TERM,Q1063837
209,с,O,
210,использованием,O,
211,камеры,B-TERM,Q15328
212,и,O,
213,устройства,B-TERM,Q778637
214,вывода,I-TERM,
215,.,O,
216,Финальный,O,
217,проект,O,
218,",",O,
219,реализованный,O,
220,на,O,
221,базе,O,
222,предложенных,O,
223,методик,O,
224,",",O,
225,успешно,O,
226,работает,O,
227,в,O,
228,реальном,O,
229,времени,O,
230,с,O,
231,питанием,B-TERM,
232,от,I-TERM,
233,USB,I-TERM,
234,на,O,
235,отладочной,B-TERM,
236,плате,I-TERM,
237,De0Nano,I-TERM,
238,на,O,
239,базе,O,
240,ПЛИС,B-TERM,
241,Cyclone,I-TERM,
242,IV,I-TERM,
243,.,O,
