id,token,tag,wiki_id
0,Проводится,O,
1,сравнительный,O,
2,анализ,O,
3,результатов,O,
4,применения,O,
5,методов,B-TERM,
6,аппроксимации,I-TERM,
7,Розенблатта,I-TERM,
8,-,I-TERM,
9,Парзена,I-TERM,
10,(,O,
11,АРП,B-TERM,
12,),O,
13,и,O,
14,структурной,B-TERM,
15,минимизации,I-TERM,
16,риска,I-TERM,
17,(,O,
18,СМР,B-TERM,
19,),O,
20,для,O,
21,аппроксимации,B-TERM,Q27058
22,плотностей,B-TERM,Q207522
23,вероятностей,I-TERM,
24,(,O,
25,ПВ,B-TERM,Q207522
26,),O,
27,случайных,B-TERM,Q176623
28,величин,I-TERM,
29,с,O,
30,ограниченной,O,
31,областью,B-TERM,
32,рассеяния,I-TERM,
33,.,O,
34,Известны,O,
35,два,O,
36,подхода,O,
37,к,O,
38,решению,O,
39,этой,O,
40,задачи,O,
41,:,O,
42,параметрический,O,
43,и,O,
44,непараметрический,O,
45,.,O,
46,В,O,
47,соответствие,O,
48,с,O,
49,первым,O,
50,подходом,O,
51,на,O,
52,основе,O,
53,априорной,B-TERM,Q278090
54,информации,I-TERM,
55,выбирают,O,
56,вид,O,
57,функции,B-TERM,Q386228
58,распределения,I-TERM,
59,(,O,
60,ФР,B-TERM,Q386228
61,),O,
62,случайной,B-TERM,Q176623
63,величины,I-TERM,
64,",",O,
65,зависящей,O,
66,от,O,
67,некоторого,O,
68,набора,O,
69,параметров,B-TERM,Q1413083
70,",",O,
71,и,O,
72,меру,B-TERM,
73,близости,I-TERM,
74,между,O,
75,теоретической,O,
76,и,O,
77,экспериментальной,O,
78,ФР,B-TERM,Q386228
79,.,O,
80,В,O,
81,основе,O,
82,непараметрической,B-TERM,Q1097688
83,статистики,I-TERM,
84,лежит,O,
85,подход,B-TERM,Q46857
86,",",O,
87,позволяющий,O,
88,получать,O,
89,адаптивные,B-TERM,
90,оценки,I-TERM,
91,эмпирических,I-TERM,
92,ФР,I-TERM,
93,в,O,
94,виде,O,
95,некоторых,O,
96,функционалов,B-TERM,Q579600
97,",",O,
98,независящих,O,
99,от,O,
100,вида,O,
101,выбираемой,O,
102,на,O,
103,основе,O,
104,априорной,B-TERM,Q278090
105,информации,I-TERM,
106,ФР,B-TERM,Q386228
107,.,O,
108,В,O,
109,АРП,B-TERM,
110,метод,B-TERM,
111,восстановления,I-TERM,
112,плотности,I-TERM,
113,распределения,I-TERM,
114,экспериментальной,I-TERM,
115,выборки,I-TERM,
116,основан,O,
117,на,O,
118,предположении,O,
119,о,O,
120,том,O,
121,",",O,
122,что,O,
123,ФР,B-TERM,Q2472662
124,оценивается,O,
125,локально,O,
126,в,O,
127,каждой,O,
128,точке,B-TERM,Q28738263
129,с,O,
130,помощью,O,
131,элементов,O,
132,обучающей,O,
133,выборки,B-TERM,Q49906
134,из,O,
135,некоторой,O,
136,окрестности,B-TERM,Q2478475
137,данной,O,
138,точки,B-TERM,
139,.,O,
140,При,O,
141,этом,O,
142,общая,O,
143,ФР,B-TERM,Q2472662
144,есть,O,
145,некоторая,O,
146,линейная,B-TERM,Q27628
147,комбинация,I-TERM,
148,известных,O,
149,ядерных,B-TERM,
150,функций,I-TERM,
151,.,O,
152,В,O,
153,методе,B-TERM,
154,СМР,I-TERM,
155,оценка,O,
156,ПР,B-TERM,Q207522
157,ищется,O,
158,в,O,
159,виде,O,
160,разложения,B-TERM,
161,по,O,
162,системе,B-TERM,
163,тригонометрических,I-TERM,
164,функций,I-TERM,
165,.,O,
166,Для,O,
167,сравнительного,B-TERM,
168,анализа,I-TERM,
169,были,O,
170,использованы,O,
171,случайные,B-TERM,Q176623
172,величины,I-TERM,
173,с,O,
174,одно,B-TERM,
175,"-,",O,
176,двух,B-TERM,
177,и,O,
178,трехмодовыми,B-TERM,
179,ПВ,I-TERM,
180,.,O,
181,Для,O,
182,оценки,B-TERM,
183,качества,I-TERM,
184,аппроксимации,I-TERM,
185,анализируемых,I-TERM,
186,методов,I-TERM,
187,использовалось,O,
188,значение,B-TERM,
189,интегральной,I-TERM,
190,погрешности,I-TERM,
191,.,O,
192,Получены,O,
193,оценки,B-TERM,Q1379672
194,точности,B-TERM,
195,аппроксимации,I-TERM,
196,и,O,
197,времени,O,
198,вычисления,B-TERM,
199,ПВ,I-TERM,
200,",",O,
201,каждым,O,
202,из,O,
203,выбранных,O,
204,методов,B-TERM,Q1799072
205,.,O,
206,Для,O,
207,проведения,O,
208,анализа,B-TERM,
209,построены,O,
210,сводные,B-TERM,
211,таблицы,I-TERM,
212,точности,I-TERM,
213,аппроксимации,I-TERM,
214,и,O,
215,времени,O,
216,вычисления,O,
217,ПВ,B-TERM,Q207522
218,.,O,
219,Сделаны,O,
220,выводы,O,
221,о,O,
222,достоинствах,O,
223,и,O,
224,недостатках,O,
225,методов,B-TERM,Q1799072
226,.,O,
227,Предложены,O,
228,рекомендации,O,
229,по,O,
230,использованию,O,
231,того,O,
232,или,O,
233,иного,O,
234,метода,B-TERM,Q1799072
235,в,O,
236,зависимости,O,
237,от,O,
238,размера,O,
239,исходной,O,
240,выборки,B-TERM,Q49906
241,.,O,
