id,token,tag,wiki_id
0,Настоящая,O,
1,статья,O,
2,посвящена,O,
3,рассмотрению,O,
4,институционально,B-TERM,
5,-,I-TERM,
6,идеологических,I-TERM,
7,причин,I-TERM,
8,кризисов,I-TERM,
9,рыночного,I-TERM,
10,хозяйства,I-TERM,
11,.,O,
12,Автор,O,
13,обращается,O,
14,к,O,
15,анализу,B-TERM,Q1988917
16,данных,I-TERM,
17,по,O,
18,экономическому,O,
19,развитию,O,
20,Британии,O,
21,в,O,
22,XVIII,O,
23,—,O,
24,нач,O,
25,.,O,
26,XX,O,
27,вв,O,
28,.,O,
29,Выдвинут,O,
30,тезис,B-TERM,Q642659
31,",",O,
32,что,O,
33,Великая,B-TERM,Q8698
34,депрессия,I-TERM,
35,имеет,O,
36,те,O,
37,же,O,
38,корни,O,
39,",",O,
40,что,O,
41,и,O,
42,спад,B-TERM,
43,в,O,
44,капиталистической,B-TERM,
45,экономике,I-TERM,
46,последней,O,
47,четверти,O,
48,XIX,O,
49,в,O,
50,.,O,
51,—,O,
52,непропорциональное,B-TERM,
53,распределение,I-TERM,
54,доходов,I-TERM,
55,между,O,
56,наемными,B-TERM,Q703534
57,работниками,I-TERM,
58,и,O,
59,предпринимателями,B-TERM,Q131524
60,.,O,
