id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,предлагаются,O,
3,дифференциальные,O,
4,метрики,O,
5,оценки,O,
6,динамики,O,
7,изменения,O,
8,основных,O,
9,библиометрических,B-TERM,Q21234514
10,показателей,I-TERM,
11,(,O,
12,количества,B-TERM,
13,статей,I-TERM,
14,и,O,
15,цитат,B-TERM,Q1713
16,),O,
17,доменов,O,
18,информационно,B-TERM,Q5268834
19,-,I-TERM,
20,коммуникационных,I-TERM,
21,технологий,I-TERM,
22,(,O,
23,ИКТ,B-TERM,Q5268834
24,),O,
25,.,O,
26,Рассматриваются,O,
27,такие,O,
28,области,O,
29,исследований,O,
30,как,O,
31,Big,B-TERM,Q858810
32,Data,I-TERM,
33,",",O,
34,Computational,B-TERM,Q177005
35,Biology,I-TERM,
36,",",O,
37,Cloud,B-TERM,Q483639
38,Computing,I-TERM,
39,",",O,
40,Cyber,B-TERM,Q1120057
41,-,I-TERM,
42,Physical,I-TERM,
43,Systems,I-TERM,
44,",",O,
45,Embedded,B-TERM,Q193040
46,Systems,I-TERM,
47,",",O,
48,Information,B-TERM,Q189900
49,Security,I-TERM,
50,",",O,
51,Internet,B-TERM,Q251212
52,of,I-TERM,
53,Things,I-TERM,
54,",",O,
55,HumanMachine,B-TERM,
56,Systems,I-TERM,
57,",",O,
58,Mobile,B-TERM,Q2738570
59,Computing,I-TERM,
60,",",O,
61,Machine,B-TERM,Q2539
62,Learning,I-TERM,
63,",",O,
64,Machine,B-TERM,Q251072
65,-,I-TERM,
66,toMachine,I-TERM,
67,",",O,
68,Multi,B-TERM,Q529909
69,-,I-TERM,
70,Agent,I-TERM,
71,Systems,I-TERM,
72,",",O,
73,Neural,B-TERM,Q192776
74,Networks,I-TERM,
75,",",O,
76,Robotics,B-TERM,Q170978
77,",",O,
78,Visualization,B-TERM,Q451553
79,",",O,
80,Augmented,B-TERM,Q254183
81,Reality,I-TERM,
82,",",O,
83,SDN,B-TERM,Q1655198
84,",",O,
85,5G,B-TERM,Q1363408
86,",",O,
87,e,B-TERM,Q211017
88,-,I-TERM,
89,Governance,I-TERM,
90,",",O,
91,Smart,B-TERM,Q1231558
92,City,I-TERM,
93,",",O,
94,Smart,B-TERM,Q689855
95,Grid,I-TERM,
96,.,O,
97,В,O,
98,дополнение,O,
99,к,O,
100,известным,O,
101,показателям,O,
102,предлагаются,O,
103,два,O,
104,вида,O,
105,интегрированных,O,
106,показателей,O,
107,",",O,
108,основанных,O,
109,на,O,
110,использовании,O,
111,производных,O,
112,.,O,
113,Выполнен,O,
114,расчет,O,
115,показателей,O,
116,и,O,
117,приведены,O,
118,графики,O,
119,их,O,
120,изменения,O,
121,во,O,
122,времени,O,
123,.,O,
124,Предложенные,O,
125,индикаторы,O,
126,позволяют,O,
127,более,O,
128,явно,O,
129,выразить,O,
130,изменения,O,
131,в,O,
132,динамике,O,
133,библиометрических,B-TERM,Q21234514
134,показателей,I-TERM,
135,",",O,
136,что,O,
137,может,O,
138,быть,O,
139,важно,O,
140,для,O,
141,оценки,O,
142,перспективности,O,
143,направлений,O,
144,исследований,O,
145,.,O,
