id,token,tag,wiki_id
0,В,O,
1,управлении,B-TERM,
2,социальными,I-TERM,
3,системами,I-TERM,
4,организационная,B-TERM,Q730573
5,культура,I-TERM,
6,играет,O,
7,важную,O,
8,роль,O,
9,.,O,
10,Изучению,O,
11,организационной,B-TERM,Q730573
12,культуры,I-TERM,
13,посвящено,O,
14,большое,O,
15,количество,O,
16,исследований,O,
17,.,O,
18,Но,O,
19,проблематика,O,
20,организационной,B-TERM,Q730573
21,культуры,I-TERM,
22,в,O,
23,контексте,O,
24,проектно,B-TERM,
25,-,I-TERM,
26,ориентированного,I-TERM,
27,управления,I-TERM,
28,изучена,O,
29,в,O,
30,значительно,O,
31,меньшей,O,
32,степени,O,
33,",",O,
34,несмотря,O,
35,на,O,
36,высокую,O,
37,практическую,O,
38,значимость,O,
39,использования,O,
40,организационной,B-TERM,Q730573
41,культуры,I-TERM,
42,как,O,
43,одного,O,
44,из,O,
45,инструментов,O,
46,и,O,
47,элементов,O,
48,управления,B-TERM,Q179012
49,проектами,I-TERM,
50,.,O,
51,Еще,O,
52,больший,O,
53,дефицит,B-TERM,Q2184645
54,обнаруживается,O,
55,в,O,
56,эмпирических,O,
57,исследованиях,O,
58,организационной,B-TERM,Q730573
59,культуры,I-TERM,
60,с,O,
61,использованием,O,
62,формальных,O,
63,количественных,B-TERM,
64,методов,I-TERM,
65,.,O,
66,В,O,
67,настоящей,O,
68,статье,O,
69,проводится,O,
70,теоретический,O,
71,анализ,B-TERM,
72,данных,I-TERM,
73,представлений,I-TERM,
74,о,O,
75,проектной,B-TERM,
76,культуры,I-TERM,
77,.,O,
78,Эмпирическая,O,
79,часть,O,
80,исследования,O,
81,включает,O,
82,анализ,B-TERM,
83,данных,I-TERM,
84,опросов,I-TERM,
85,руководителей,I-TERM,
86,проектов,I-TERM,
87,российских,I-TERM,
88,компаний,I-TERM,
89,с,O,
90,помощью,O,
91,метода,B-TERM,Q1784754
92,анализа,I-TERM,
93,соответствий,I-TERM,
94,",",O,
95,включая,O,
96,построение,O,
97,карт,B-TERM,
98,профилей,I-TERM,
99,(,O,
100,конфигураций,B-TERM,
101,),O,
102,проектных,B-TERM,
103,культур,I-TERM,
104,в,O,
105,разрезе,O,
106,отраслей,O,
107,и,O,
108,методологических,O,
109,подходов,O,
110,к,O,
111,управлению,B-TERM,Q179012
112,проектами,I-TERM,
113,",",O,
114,используемых,O,
115,в,O,
116,компаниях,O,
117,.,O,
118,Результаты,O,
119,исследования,O,
120,говорят,O,
121,о,O,
122,заметной,O,
123,разнице,O,
124,в,O,
125,элементах,O,
126,оптимальных,O,
127,проектных,B-TERM,
128,культур,I-TERM,
129,в,O,
130,различных,O,
131,отраслях,O,
132,и,O,
133,при,O,
134,использовании,O,
135,разных,O,
136,методологий,B-TERM,Q351682
137,.,O,
138,Также,O,
139,исследование,O,
140,показало,O,
141,",",O,
142,что,O,
143,большая,O,
144,часть,O,
145,элементов,O,
146,проектной,B-TERM,
147,культуры,I-TERM,
148,образуют,O,
149,хорошо,O,
150,согласуемое,O,
151,ядро,B-TERM,
152,",",O,
153,но,O,
154,при,O,
155,этом,O,
156,такие,O,
157,элементы,O,
158,как,O,
159,важность,O,
160,контроля,O,
161,и,O,
162,дисциплины,O,
163,",",O,
164,важность,O,
165,обучения,O,
166,и,O,
167,приобретения,O,
168,новых,B-TERM,
169,знаний,I-TERM,
170,согласуются,O,
171,с,O,
172,ядром,B-TERM,
173,в,O,
174,заметно,O,
175,меньшей,O,
176,степени,O,
177,.,O,
178,По,O,
179,результатам,O,
180,исследования,O,
181,формулируются,O,
182,рекомендации,O,
183,по,O,
184,развитию,O,
185,проектных,B-TERM,
186,культур,I-TERM,
187,в,O,
188,российских,O,
189,компаниях,O,
190,с,O,
191,учетом,O,
192,влияния,O,
193,отраслевой,O,
194,специфики,O,
195,и,O,
196,используемых,O,
197,в,O,
198,компании,O,
199,методологий,B-TERM,Q351682
200,.,O,
