id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассказано,O,
3,",",O,
4,как,O,
5,можно,O,
6,провести,O,
7,реальную,O,
8,лабораторную,O,
9,работу,O,
10,по,O,
11,физике,B-TERM,Q413
12,(,O,
13,механике,B-TERM,Q41217
14,),O,
15,с,O,
16,привлечением,O,
17,современных,O,
18,математических,B-TERM,
19,пакетов,I-TERM,
20,",",O,
21,в,O,
22,частности,O,
23,пакета,B-TERM,Q1133580
24,Mathcad,I-TERM,
25,.,O,
26,Рассматриваются,O,
27,методы,B-TERM,
28,визуализации,I-TERM,
29,решений,I-TERM,
30,статики,B-TERM,Q169019
31,",",O,
32,кинематики,B-TERM,Q11476
33,и,O,
34,динамики,B-TERM,Q128030
35,с,O,
36,использованием,O,
37,анализа,O,
38,сил,O,
39,",",O,
40,действующих,O,
41,на,O,
42,материальные,B-TERM,Q723931
43,точки,I-TERM,
44,(,O,
45,ньютоновский,B-TERM,Q374195
46,подход,I-TERM,
47,),O,
48,",",O,
49,и,O,
50,с,O,
51,минимизацией,B-TERM,
52,энергии,I-TERM,
53,(,O,
54,метод,B-TERM,Q1205942
55,Лагранжа,I-TERM,
56,),O,
57,.,O,
58,Описаны,O,
59,методы,B-TERM,
60,визуализации,I-TERM,
61,решений,I-TERM,
62,с,O,
63,помощью,O,
64,статической,B-TERM,
65,графики,I-TERM,
66,и,O,
67,динамической,B-TERM,
68,анимации,I-TERM,
69,с,O,
70,отображением,O,
71,траекторий,B-TERM,Q193139
72,движущихся,B-TERM,
73,материальных,I-TERM,
74,точек,I-TERM,
75,.,O,
