id,token,tag,wiki_id
0,Tangible,B-TERM,
1,user,I-TERM,
2,interface,I-TERM,
3,(,O,
4,TUI,B-TERM,
5,),O,
6,на,O,
7,русский,O,
8,язык,O,
9,можно,O,
10,перевести,O,
11,как,O,
12,«,O,
13,материальный,,
14,»,O,
15,или,O,
16,«,O,
17,ощутимый,O,
18,»,O,
19,интерфейс,B-TERM,Q47146
20,пользователя,I-TERM,
21,.,O,
22,В,O,
23,настоящей,O,
24,статье,O,
25,делается,O,
26,обзор,O,
27,современных,O,
28,технических,O,
29,средств,O,
30,",",O,
31,используемых,O,
32,при,O,
33,построении,O,
34,материальных,B-TERM,Q1468691
35,пользовательских,I-TERM,
36,интерфейсов,I-TERM,
37,.,O,
38,Обзор,O,
39,нацелен,O,
40,на,O,
41,определение,O,
42,возможностей,O,
43,использования,O,
44,TUI,B-TERM,
45,как,O,
46,расширение,O,
47,человеко,B-TERM,Q207434
48,-,I-TERM,
49,компьютерного,I-TERM,
50,взаимодействия,I-TERM,
51,в,O,
52,технологиях,O,
53,геймификации,B-TERM,Q1067402
54,.,O,
