id,token,tag,wiki_id
0,В,O,
1,основе,O,
2,статьи,O,
3,лежит,O,
4,гипотеза,B-TERM,Q2913326
5,о,O,
6,том,O,
7,",",O,
8,что,O,
9,важнейшим,O,
10,условием,O,
11,повышения,O,
12,конкурентоспособности,B-TERM,Q4230875
13,бизнеса,I-TERM,
14,является,O,
15,формирование,B-TERM,
16,",",O,
17,удержание,B-TERM,
18,и,O,
19,развитие,B-TERM,
20,ключевых,I-TERM,
21,компетенций,I-TERM,
22,организации,I-TERM,
23,",",O,
24,каждая,O,
25,из,O,
26,которых,O,
27,отражает,O,
28,конкурентное,B-TERM,Q1150207
29,преимущество,I-TERM,
30,.,O,
31,С,O,
32,ускорением,O,
33,научно,B-TERM,Q3107378
34,-,I-TERM,
35,технического,I-TERM,
36,прогресса,I-TERM,
37,",",O,
38,формированием,O,
39,новых,O,
40,",",O,
41,высокотехнологичных,O,
42,и,O,
43,динамично,O,
44,развивающихся,O,
45,отраслей,O,
46,",",O,
47,таких,O,
48,как,O,
49,информационные,B-TERM,Q11661
50,",",O,
51,нано,B-TERM,Q11468
52,-,O,
53,и,O,
54,биотехнологии,B-TERM,Q7108
55,",",O,
56,возникают,O,
57,и,O,
58,новые,O,
59,способы,O,Q29017603
60,управления,B-TERM,
61,и,O,
62,внедрения,B-TERM,
63,инноваций,I-TERM,
64,.,O,
65,Не,O,
66,менее,O,
67,важными,O,
68,становятся,O,
69,современные,O,
70,способы,O,
71,управления,B-TERM,Q50412353
72,ими,O,
73,",",O,
74,включая,O,
75,трансфер,B-TERM,Q1061910
76,технологий,I-TERM,
77,",",O,
78,венчурное,B-TERM,Q4107284
79,инвестирование,I-TERM,
80,",",O,
81,систему,B-TERM,Q1469997
82,открытых,I-TERM,
83,инноваций,I-TERM,
84,",",O,
85,ключевые,B-TERM,Q1201929
86,компетенции,I-TERM,
87,.,O,
88,Эффективным,O,
89,синтезом,O,
90,двух,O,
91,подходов,O,
92,является,O,
93,корпоративное,B-TERM,
94,венчурное,I-TERM,
95,инвестирование,I-TERM,
96,.,O,
97,Методическая,O,
98,сложность,O,
99,выделения,O,
100,и,O,
101,слабая,O,
102,проработанность,O,
103,процедур,O,
104,формирования,B-TERM,
105,",",O,
106,развития,B-TERM,
107,и,O,
108,управления,B-TERM,
109,компетенциями,I-TERM,
110,в,O,
111,сочетании,O,
112,с,O,
113,отсутствием,O,
114,у,O,
115,менеджеров,O,
116,российских,O,
117,компаний,O,
118,навыков,O,
119,работы,O,
120,с,O,
121,компетенциями,O,
122,приводит,O,
123,к,O,
124,тому,O,
125,",",O,
126,что,O,
127,этот,O,
128,важный,O,
129,актив,O,
130,практически,O,
131,не,O,
132,используется,O,
133,.,O,
134,У,O,
135,многих,O,
136,отечественных,O,
137,компаний,O,
138,такие,O,
139,компетенции,O,
140,имеются,O,
141,",",O,
142,однако,O,
143,они,O,
144,не,O,
145,описаны,O,
146,",",O,
147,не,O,
148,систематизированы,O,
149,",",O,
150,отсутствует,O,
151,управление,B-TERM,Q50412353
152,ими,O,
153,.,O,
154,Настоящая,O,
155,работа,O,
156,нацелена,O,
157,на,O,
158,исследование,O,
159,данных,O,
160,механизмов,O,
161,формирования,O,
162,устойчивых,O,
163,конкурентных,B-TERM,Q1150207
164,преимуществ,I-TERM,
165,в,O,
166,современных,O,
167,условиях,O,
168,",",O,
169,а,O,
170,также,O,
171,на,O,
172,применение,O,
173,элементов,O,
174,корпоративного,B-TERM,
175,венчуринга,I-TERM,
176,.,O,
